able|способный|['eIbl]
union|союз|['ju:njqn]|
unite|объединять|[ju:'naIt]|
university|университет|[,ju:nI'vq:sItI]|
unless|пока не|[qn'les]|
until|пока|[qn'tIl]|
up|вверх|[Ap]|
upon|на поверхности|[q'pOn]|
use|использование|[ju:z]|
usual|обычный|['ju:Zuql]|
valley|долина|['vxlI]|
value|ценность, величина|['vxlju:]|
variety|разнообразие|[vq'raIqtI]|
various|разнообразный|['vFqrIqs]|
very|очень|['verI]|
vessel|сосуд, судно|['vesl]|
victory|победа|['vIktqrI]|
view|вид|[vju:]|
village|деревня|['vIlIdZ]|
virtue|добродетель|['vq:tju:]|
visit|визит|['vIzIt]|
voice|голос|[vOIs]|
vote|голосование|[vqut]|
wage|заработная плата|[weIdZ]|
wait|ждать|[weIt]|
walk|прогулка|[wO:k]|
wall|стена|[wO:l]|
want|недостаток, хотеть|[wOnt]|
war|война|[wO:]|
watch|часы|[wOtS]|
water|вода|['wO:tq]|
wave|волна|[weIv]|
way|путь|[weI]|
we|мы|[wi:]|
wealth|богатство|[welT]|
wear|носить|[wFq]|
Wednesday|среда|['wenzdI]|
week|неделя|[wi:k]|
welcome|добро пожаловать!|['welkqm]|
well|хорошо|[wel]|
west|запад|[west]|
western|западный|['westqn]|
what|какой|[wOt]|
when|когда|[wen]|
where|где|[wFq]|
whether|ли|['weDq]|
which|который|[wItS]|
while|пока|[waIl]|
white|белый|[waIt]|
who|кто|[hu:]|
whole|целое|[hqul]|
why|почему|[waI]|
wide|широкий|[waId]|
wife|жена|[waIf]|
wild|дикий|[waIld]|
will|желать|[wIl]|
win|выиграть|[wIn]|
wind|ветер|[waInd]|
window|окно, витрина|['wIndqu]|
wine|вино|[waIn]|
winter|зима|['wIntq]|
wise|мудрый|[waIz]|
wish|желать|[wIS]|
with|с|[wID]|
within|внутри|[wI'DIn]|
without|без|[wI'Daut]|
woman|женщина|['wumqn]|
wonder|удивляться|['wAndq]|
wood|дерево|[wud]|
word|слово|[wq:d]|
work|работа|[wq:k]|
world|мир|[wq:ld]|
worth|цена стоимость, ценный достойный|[wq:T]|
would|бы|[wud]|
wound|рана|[waund]|
write|писать|[raIt]|
wrong|неправильный|[rON]|
year|год|[jq:]|
yes|да|[jes]|
yesterday|вчера|['jestqdI]|
yet|пока, еще|[jet]|
yield|урожай, доходность|[ji:ld]|
you|ты, вы|[ju:d]|
young|молодой|[jAN]|
youth|молодость|[ju:T]|
