able|способный|['eIbl]|
interest|интерес|['IntrIst]|
interfere|вмешиваться|[,Intq'fIq]|
international|международный|[,Intq(:)'nxSqnl]|
interrupt|прерывать|[,Intq'rApt]|
into|в|['Intu]|
introduce|представлять|[,Intrq'dju:s]|
invent|изобретать|[In'vent]|
invite|приглашать|[In'vaIt]|
inward|внутренний|['Inwqd]|
iron|железо|['aIqn]|
island|остров|['aIlqnd]|
it|это|[It]|
jaw|челюсть|[dZO:]|
jealous|ревнивый|['dZelqs]|
jewel|драгоценный камень|['dZu:ql]|
join|соединение|[dZOIn]|
joint|совместный|[dZOInt]|
jointed|сочлененный, шарнирно|['dZOInted]|
joke|шутка|[dZquk]|
journey|путешествие|['dZq:nI]|
joy|радость|[dZOI]|
judge|судья|['dZAdZ]|
juice|сок|[dZu:s]|
jump|прыжок|[dZAmp]|
just|справедливый, как раз|[dZAst]|
justice|правосудие|['dZAstIs]|
keep|держать, хранить|[ki:p]|
key|ключ|[ki:]|
kick|пинок|[kIk]|
kill|убивать|[kIl]|
kilogram|килограмм|['kIlqugrxm]|
kilometre|километр|['kIlqu,mi:tq]|
kind|добрый|[kaInd]|
king|король|[kIN]|
kiss|поцелуй|[kIs]|
kitchen|кухня|['kItSIn]|
knee|колено|[ni:]|
kneel|стоять на коленях|[ni:l]|
knife|нож|[naIf]|
knock|стучать|[nOk]|
knot|узел|[nOt]|
know|знать|[nqu]|
lack|недостаток|[lxk]|
ladder|лестница|['lxdq]|
lady|леди|['leIdI]|
lake|озеро|[leIk]|
lamp|лампа|[lxmp]|
land|земля|[lxnd]|
language|язык|['lxNgwIdZ]|
large|большой|[lQ:dZ]|
last|последний|[lQ:st]|
late|поздний|[leIt]|
latter|более поздний|['lxtq]|
laugh|смех|[lQ:f]|
laughter|смех|['lQ:ftq]|
law|закон|[lO:]|
lay|стлать|[leI]|
layer|слой|['leIq]|
lazy|ленивый|['leIzI]|
lead|вести|[led]|
leaf|лист|[li:f]|
lean|постный|[li:n]|
learn|учить|[lq:n]|
leather|кожа|['lqDq]|
leave|уезжать|[li:v]|
lecture|лекция|['lektSq]|
left|левый|[left]|
leg|нога|[leg]|
legal|юридический|['li:g(q)l]|
lend|давать взаймы|[lend]|
length|длина|[leNT]|
less|меньший|[les]|
lesson|урок|['lesn]|
let|пусть|[let]|
letter|буква, письмо|['letq]|
level|уровень|['levl]|
liberty|свобода|['lIbqtI]|
library|библиотека|['laIbrqrI]|
lid|крышка|[lId]|
lie|пережидать|[laI]|
life|жизнь|['laIf]|
lift|поднятие|[lIft]|
light|светлый|[laIt]|
like|похожий|[laIk]|
likely|вероятно|['laIklI]|
limb|конечность|[lIm]|
limit|предел|['lImIt]|
line|линия|[laIn]|
link|звено, связывать|[lINk]|
lip|губа|[lIp]|
liquid|жидкость|['lIkwId]|
list|список|[lIst]|
listen|слушать|['lIsn]|
literature|литература|['lItqrItSq]|
litre|литр|['li:tq]|
little|маленький|['lItl]|
live|боевой|[laIv]|
load|груз, грузить|[lqud]|
loaf|буханка|[lquf]|
loan|заем|[lqun]|
local|местный|['lquk(q)l]|
lock|замок|[lOk]|
lodging|жилье|['lOdZIN]|
log|бревно|[lOg]|
lone|одинокий|[lqun]|
long|длинный|[lON]|
look|взгляд, смотреть|[luk]|
loose|свободный|[lu:s]|
lord|господин|[lO:d]|
lose|терять|[lu:z]|
loss|потеря|[lOs]|
lot|жребий|[lOt]|
loud|громкий|[laud]|
love|любовь|[lAv]|
low|низкий|[lqu]|
loyal|преданный|['lOIql]|
luck|удача|[lAk]|
lump|кусок|[lAmp]|
lunch|обед|[lAntS]|
lung|легкое (анатомич)|[lAN]|
machine|механизм|[mq'Si:n]|
mad|сумасшедший|[mxd]|
mail|почта, кольчуга|[meIl]|
main|главный|[meIn]|
make|сделать|[meIk]|
male|мужской|[meIl]|
man|человек|[mxn]|
manage|управлять|['mxnIdZ]|
manner|манера|['mxnq]|
manufacture|производство|[,mxnju'fxktSq]|
many|много|['menI]|
map|карта|[mxp]|
margin|край|['mQ:dZIn]|
mark|метка|[mQ:k]|
market|рынок|['mQ:kIt]|
marry|жениться|['mxrI]|
mass|масса|[mxs]|
master|хозяин|['mQ:stq]|
mat|коврик|[mxt]|
match|спичка|[mxtS]|
material|материальный|[mq'tIqrIql]|
matter|материя|['mxtq]|
mature|зрелый|[mq'tjuq]|
maybe|возможно|['meIbi:]|
meal|приём пищи|[mi:l]|
mean|значить|[mi:n]|
meantime|промежуток времени|['mi:n'taIm]|
meanwhile|промежуток времени|['mi:n'waIl]|
measure|мера|['meZq]|
meat|мясо|[mi:t]|
mechanic|механик|[mI'kxnIk]|
medical|медицинский|['medIk(q)l]|
medicine|лекарство|['medIsIn]|
medium|средство|['mi:dZqm]|
meet|встречать|[mi:t]|
melt|таять|[melt]|
member|участник|['membq]|
memory|память|['memqrI]|
mend|штопать|[mend]|
mention|упоминание|['menSqn]|
merchant|коммерческий|['mq:tSqnt]|
mercy|милосердие|['mq:sI]|
mere|простой|[mIq]|
merry|веселый|['merI]|
message|сообщение|['mesIdZ]|
messenger|посыльный|['mesIndZq]|
metal|металл|['metl]|
metre|метр|['mi:tq]|
middle|середина|['mIdl]|
might|мощь|[maIt]|
mild|мягкий|[maIld]|
mile|миля|[maIl]|
military|военный|['mIlIt(q)rI]|
milk|молоко|[mIlk]|
mill|мельница|[mIl]|
milligram|миллиграмм|['mIlIgrxm]|
millilitre|миллилитр|['mIlI,li:tq]|
millimetre|миллиметр|['mIlI,mi:tq]|
million|миллион|['mIljqn]|
mind|разум|[maInd]|
miner|шахтер|['maInq]|
mineral|минерал|['mIn(q)r(q)l]|
minister|министр|['mInIstq]|
minute|минута|[maI'nju:t]|
miserable|жалкий|['mIzqrqbl]|
miss|пропускать|[mIs]|
mistake|ошибаться|[mIs'teIk]|
mister|мистер|['mIstq]|
mix|смесь|[mIks]|
model|модель|['mOdl]|
moderate|утихать|['mOdqreIt]|
modern|современный|['mOd(q)n]|
modest|скромный|['mOdIst]|
moment|момент|['mqumqnt]|
Monday|понедельник|['mAndI]|
money|деньги|['mAnI]|
monkey|обезьяна|['mANkI]|
month|месяц|[mAnT]|
moon|луна|[mu:n]|
moral|мораль|['mOr(q)l]|
more|больше|[mO:]|
moreover|кроме того|[mO:'rquvq]|
morning|утро|['mO:nIN]|
most|наибольший|[mqust]|
mother|мать|['mADq]|
motion|движение|['mquS(q)n]|
motor|двигатель|['mqutq]|
mountain|гора|['mauntIn]|
mouse|мышь|[maus]|
mouth|рот|[mauT]|
move|перемещение|[mu:v]|
Mrs|миссис, госпожа|['mIsIz]|
much|многое, очень|[mAtS]|
mud|грязь|[mAd]|
multiply|умножать|['mAltIplaI]|
murder|убивать|['mq:dq]|
music|музыка|['mju:zIk]|
must|нeoбxoдимocть|[mAst]|
mystery|тайна|['mIstqrI]|
nail|ноготь, гвоздь|[neIl]|
name|имя|[neIm]|
narrow|узкий|['nxrqu]|
nation|нация|['neIS(q)n]|
native|родной|['neItIv]|
nature|природа|['neItSq]|
near|около|[nIq]|
neat|четкий, ясный|[ni:t]|
necessary|нужный|['nesIsqrI]|
necessity|необходимость|[nI'sesItI]|
neck|шея|[nek]|
need|нужда|[ni:d]|
needle|игла|['ni:dl]|
neglect|небрежность|[nI'glekt]|
neighbour|сосед|['neIbq]|
neither|никакой, также не|['naIDq]|
nephew|племянник|['nevju(:)]|
nest|гнездо|[nest]|
net|сеть|[net]|
network|сеть|['netwq:k]|
never|никогда|['nevq]|
new|новый|[nju:]|
news|новости|[nju:z]|
newspaper|газета|['nju:s,peIpq]|
next|следующий|[nekst]|
nice|милый|[naIs]|
niece|племянница|[ni:s]|
night|ночь|[naIt]|
nine|девять|[naIn]|
no|нет|[nqu]|
noble|благородный|['nqubl]|
noise|шум|[nOIz]|
none|никто|[nAn]|
nonsense|чепуха|['nOnsqns]|
noon|полдень|[nu:n]|
nor|также не|[nO:-]|
normal|нормальный|['nO:m(q)l]|
north|север|[nO:T]|
nose|нос|[nquz]|
not|не|[nOt]|
note|заметка|[nqut]|
notice|предупреждение|['nqutIs]|
noun|существительное|[naun]|
now|сейчас|[nau]|
nuisance|досада|['nju:sns]|
number|число|['nAmbq]|
numerical|цифровой|[nju(:)'merIkql]|
numerous|многочисленный|['nju:mqrqs]|
nurse|нянька|[nq:s]|
nut|орех|[nAt]|
oar|весло|[O:]|
obey|повиноваться|[q'beI]|
object|предмет, объект|['ObdZIkt]|
observe|наблюдать|[qb'zq:v]|
occasion|случай|[q'keIZqn]|
ocean|океан|['quSqn]|
of|от|[Ov]|
off|удалиться|[Of]|
offend|обижать|[q'fend]|
offer|предлагать|['Ofq]|
office|контора|['OfIs]|
official|официальный, чиновник|[q'fISql]|
often|часто|['Ofn]|
oh|восклицание О!|[qu]|
oil|нефть, масло|[OIl]|
old|старый|[quld]|
omit|упускать|[q'mIt]|
on|на|[On]|
once|однажды|[wAns]|
one|один|[wAn]|
only|только|['qunlI]|
onwards|прогрессивный, передовой|['Onwqdz]|
open|открытый|['qupqn]|
operate|оперировать|['OpqreIt]|
opinion|мнение|[q'pInjqn]|
opportunity|удобный случай|[,Opq'tju:nItI]|
oppose|противиться|[q'pquz]|
opposite|противоположный|['OpqzIt]|
or|или|[O:]|
orange|апельсин|['OrIndZ]|
order|порядок, заказ|['O:dq]|
ordinary|обыкновенный|['O:dnrI]|
organ|орган|['O:gqn]|
organize|организовать|['O:gqnaIz]|
origin|источник|['OrIdZIn]|
ornament|украшать|['O:nqment]|
other|другой|['ADq]|
otherwise|иначе|['ADqwaIz]|
ought|следует|[O:T]|
out|вне|[aut]|
outcome|исход|['autkAm]|
outline|очертание|['autlaIn]|
output|продукция|['autput]|
over|над|['quvq-]|
overall|повсюду|['quvqrO:l]|
overcome|побороть|[,quvq'kAm]|
overlap|перекрывать|[,quvq'lxp]|
overseas|заморский|['quvq'si:z]|
owe|быть должным|[qu]|
own|собственный|[qun]|
pack|упаковывать|[pxk]|
pad|подушка|[pxd]|
page|страница|[peIdZ]|
pain|боль|[peIn]|
paint|краска, рисунок|[peInt]|
pair|пара|[pFq]|
pale|бледнеть|[peIl]|
pan|кастрюля|[pxn]|
paper|бумага|['peIpq]|
paragraph|абзац|['pxrqgrQ:f]|
parallel|параллельный|['pxrqlel]|
parcel|сверток, пакет|['pQ:sl]|
pardon|прощать|['pQ:dn]|
parent|родитель|['pFqrqnt]|
park|парк|[pQ:k]|
part|часть|[pQ:t]|
particular|особенный|[pq'tIkjulq]|
partner|партнер|['pQ:tnq]|
party|партия, вечеринка|['pQ:tI]|
pass|проходить|[pQ:s]|
passage|проход|['pxsIdZ]|
passenger|пассажир|['pxsIndZq]|
past|прошлый|[pQ:st]|
paste|клей, паста|[peIst]|
path|путь|[pQ:T]|
patient|больной, терпеливый|['peISqnt]|
patriotic|патриотический|[,pxtrI'OtIk]|
pattern|образец|['pxtqn]|
pause|пауза|[pO:z]|
paw|лапа|[pO:]|
pay|платить|[peI]|
peace|мир|[pi:s]|
pearl|жемчуг|[pq:l]|
peculiar|своеобразный|[pI'kju:ljq]|
pen|ручка с пером|[pen]|
pencil|карандаш|['pensl]|
penny|пенс|['penI]|
people|люди|['pi:pl]|
per|на|[pq:]|
perfect|безупречный|['pq:fIkt]|
perform|исполнять|[pq'fO:m]|
perhaps|может быть|[pq'hxps]|
permanent|стойкий|['pq:mqnqnt]|
permit|разрешать|['pq:mIt]|
person|личность|[pq:sn]|
persuade|убеждать|[pq'sweId]|
pet|домашнее животное|[pet]|
photograph|фотография|['fqutqgrQ:f]|
physical|физический|['fIzIk(q)l]|
pick|собирать, срывать|[pIk]|
picture|картина|['pIktSq]|
piece|кусок|[pi:s]|
pig|свинья|[pIg]|
pigeon|голубь|['pIdZIn]|
pile|кипа, наваливать|[paIl]|
pin|булавка|[pIn]|
pinch|ущипнуть|[pIntS]|
pink|гвоздика, розовый|[pINk]|
pint|пинта|[paInt]|
pipe|трубка|[paIp]|
pity|жалость|['pItI]|
place|место|[pleIs]|
plain|равнина, ясный|[pleIn]|
plan|план|[plxn]|
plane|плоскость|[pleIn]|
plant|растение, завод|[plQ:nt]|
plaster|лейкопластырь|['plQ:stq]|
plate|тарелка|[pleIt]|
play|играть|[pleI]|
please|пожалуйста|[pli:z]|
plenty|изобилие|['plentI]|
plough|плуг|[plau]|
plural|множественное число|['pluqrql]|
pocket|карман|['pOkIt]|
poem|стихотворение|['pquIm]|
point|место, точка|[pOInt]|
poison|отрава|['pOIzn]|
police|полиция|[pq'li:s]|
polish|полировка|['pqulIS]|
polite|светский|[pq'laIt]|
political|политический|[pq'lItIkql]|
pool|лужа|[pu:l]|
poor|бедный|[puq]|
popular|народный, популярный|['pOpjulq]|
population|народонаселение|[,pOpju'leISqn]|
position|позиция|[pq'zISqn]|
possess|обладать|[pq'zes]|
possible|возможный|['pOsqbl]|
post|столб|[pqust]|
postpone|откладывать|[peust'pqun]|
pot|горшок|[pOt]|
pound|фунт, загон, колотить|[paund]|
pour|лить|[pO:]|
poverty|бедность|['pOvqtI]|
powder|порошок|['paudq]|
power|сила, энергия, мощь|['pauq]|
practical|практический|['prxktIkql]|
practise|отрабатывать|['prxktIs]|
praise|хвала|[preIz]|
pray|молиться|[preI]|
preach|читать проповедь|[pri:tS]|
precious|драгоценный|['preSqs]|
prefer|предпочитать|[prI'fq:]|
prejudice|предубеждение|['predZudIs]|
prepare|готовить|[prI'pFq]|
present|теперешний|['preznt]|
preserve|сохранять|[prI'zq:v]|
president|президент|['rezId(q)nt]|
press|надавливать, пресса|[pres]|
pressure|давление|['preSq]|
pretend|использовать в качестве предлога|[prI'tend]|
pretty|милый, довольно|['prItI]|
prevent|предотвращать|[prI'vent]|
price|цена|[praIs]|
pride|гордость|[praId]|
priest|священник|[pri:st]|
prime|основной|[praIm]|
print|отпечаток|[prInt]|
prison|тюрьма|['prIzn]|
private|личный|['praIvIt]|
prize|награда|[praIz]|
probable|вероятный|['prObqbl]|
problem|проблема|['prOblqm]|
process|процесс|['prquses]|
procession|процессия|[prq'seSqn]|
produce|изделие|['prOdju:s]|
product|продукт|['prOdAkt]|
profession|профессия|[prq'feSqn]|
profit|польза|['prOfIt]|
programme|программа, программный|['prqugrxm]|
progress|прогресс|['prqugrqs]|
promise|обещание|['prOmIs]|
prompt|подсказка|[prOmpt]|
pronounce|произносить|[prq'nauns]|
proof|непроницаемый|[pru:f]|
proper|присущий, надлежащий|['prOpq]|
property|свойство|['prOpqtI]|
propose|предлагать|[prq'pquz]|
protect|защищать|[prq'tekt]|
proud|гордый|[praud]|
prove|доказывать|[pru:v]|
provide|обеспечивать|[prq'vaId]|
provision|провизия|[prq'vIZqn]|
psychology|психология|[saI'kOlqdZI]|
public|общественный|['pAblIk]|
pull|тяга|[pul]|
pump|насос|[pAmp]|
punctual|пунктуальный|['pANktjuql]|
punish|наказывать|['pAnIS]|
pupil|воспитанник, зрачок|['pju:pl]|
purchase|покупка|['pq:tSqs]|
pure|чистый|[pjuq]|
purple|пурпурный|['pq:pl]|
purpose|цель|['pq:pqs]|
push|толчёк|[puS]|
put|класть|[put]|
puzzle|озадачивать|['pAzl]|
qualify|квалифицировать|['kwOlIfaI]|
quality|качество|['kwOlItI]|
quantity|количество|['kwOntItI]|
quarrel|ссориться|['kwOrql]|
quart|кварта|[kwO:t]|
quarter|четверть|['kwO:tq]|
queen|королева|[kwi:n]|
question|вопрос|['kwestS(q)n]|
quick|быстрый|[kwIk]|
quiet|тихий|['kwaIqt]|
quite|вполне|[kwaIt]|
rabbit|кролик|['rxbIt]|
race|гонка, раса|[reIs]|
radio|радио|['reIdIqu]|
rail|перила|[reIl]|
rain|дождь|[reIn]|
raise|поднимать|[reIz]|
rake|грабли|[reIk]|
range|диапазон|[reIndZ]|
rank|ранг|[rxNk]|
rapid|стремительный|['rxpId]|
rare|редкий|[rFq]|
rat|крыса|[rxt]|
rate|пропорция|[reIt]|
rather|скорее, весьма|['rQ:Dq]|
ratio|отношение|['reISIqu]|
raw|сырой|[rO:]|
ray|луч|[reI]|
razor|бритва|['reIzq]|
reach|достигать|[ri:tS]|
read|грамотный|['ri:d]|
ready|готовый|['redI]|
real|действительный|[reI'Q:l]|
realise|понять|['rIqlaIz]|
really|действительно|['rIqlI]|
reason|разум, смысл, причина|[ri:zn]|
receipt|квитанция, рецепт|[rI'si:t]|
receive|принимать|[rI'si:v]|
recent|недавний|['ri:snt]|
recognize|распознавать|['rekqgnaIz]|
recommend|рекомендовать|[,rekq'mend]|
record|запись|['rekO:d]|
red|красные|[red]|
reduce|уменьшать|[rI'dju:s]|
refer|ссылаться|[rI'fq:]|
reflect|отражать|[rI'flekt]|
refresh|освежать|[rI'freS]|
refuse|отказывать|['ri:'fju:z]|
regard|внимание|[rI'gQ:d]|
regret|сожаление|[rI'gret]|
regular|регулярный|['regjulq]|
rejoice|радоваться|[rI'dZOIs]|
relation|отношение|[rI'leISqn]|
relative|родственный|['relqtIv]|
relieve|облегчать|[rI'li:v]|
religion|религия|[rI'lIdZqn]|
remain|оставаться|[rI'meIn]|
remark|замечание|['rI'mQ:k]|
remedy|лекарство|['remIdI]|
remember|помнить|[rI'membq]|
remind|напоминать|['rImaInd]|
rent|арендная плата|[rent]|
repair|ремонт|[rI'pFq]|
repeat|повторять|[rI'pi:t]|
replace|переставлять|[rI'pleIs]|
reply|отвечать|[rI'plaI]|
report|доклад|[rI'pO:t]|
represent|представлять|[,reprI'zent]|
reproduce|воспроизводить|[,ri:prq'dju:s]|
republic|республика|[rI'pAblIk]|
reputation|репутация|[,repju(:)'teISqn]|
request|запрос|[rI'kwest]|
rescue|спасение|['reskju:]|
reserve|резерв|[rI'zq:v]|
resign|уходить в отставку|['ri:'saIn]|
resist|сопротивляться|[rI'zIst]|
respect|уважение|[rIs'pekt]|
responsible|ответственный|[rIs'pOnsqbl]|
rest|отдых|[rest]|
restaurant|ресторан|['rest(q)rO:N]|
result|результат|[rI'zAlt]|
retire|уходить в отставку|[rI'taIq]|
return|возвращаться|[rI'tq:n]|
revenge|мщение|[rI'vendZ]|
review|просмотр|[rI'vju:]|
reward|награда|[rI'wO:d]|
ribbon|лента|['rIbqn]|
rice|рис|[raIs]|
rich|богатый|[rItS]|
rid|избавлять|[rId]|
ride|ехать верхом|[raId]|
right|правильный|[raIt]|
ring|кольцо|[rIN]|
ripe|спелый|[raIp]|
rise|подниматься|[raIz]|
risk|риск|[rIsk]|
rival|конкурент|['raIvql]|
river|река|['rIvq]|
road|дорога|[rqud]|
roar|реветь|[rO:]|
roast|жаркое|[rqust]|
rob|грабить|[rOb]|
rock|скала, качаться|[rOk]|
rod|ветка|[rOd]|
roll|свёрток, вращение|[rqul]|
roof|крыша|[ru:f]|
room|комната|[ru:m]|
root|корень|[ru:t]|
rope|веревка|['rqups'end]|
rot|гнить|[rOt]|
rough|грубый|[rAf]|
round|круглый|[raund]|
row|гребля|[rqu]|
royal|королевский|['rOI(q)l]|
rub|трение|[rAb]|
rubber|резина|['rAbq]|
rubbish|мусор|['rAbIS]|
rude|грубый|[ru:d]|
rug|коврик|[rAg]|
ruin|руины|[ruIn]|
rule|правило|[ru:l]|
run|бег|[rAn]|
rush|натиск|[rAS]|
rust|ржаветь|[rAst]|
sacred|священный|['seIkrId]|
sacrifice|жертва|['sxkrIfaIs]|
sad|печальный|[sxd]|
saddle|седло|['sxdl]|
safe|невредимый|[seIf]|
sail|парус|[seIl]|
sake|ради, для|[seIk]|
salary|жалованье|['sxlqrI]|
sale|продажа|[seII]|
salt|соль|[sO:lt]|
same|одинаковый|[seIm]|
sample|пример, образец|['sQ:mpl]|
sand|песок|['sxnd]|
satisfy|удовлетворять|['sxtIsfaI]|
Saturday|суббота|['sxtqdI]|
sauce|соус|[sO:s]|
saucer|блюдце|['sO:sq]|
save|спасать|[seIv]|
SAWS|СОС|[sO:s]|
say|сказать|[seI]|
scale|шкала, весы|[skeIl]|
scarce|скудный|[skFqs]|
scatter|раскидывать|['skxtq]|
scene|сцена|[si:n]|
scent|запах, обонять|[sent]|
school|школа|[sku:l]|
science|наука|['saIqns]|
scissors|ножницы|['sIzqz]|
scold|браниться|[skquld]|
scorn|презрение|[skO:n]|
scrape|скрести|[skreIp]|
scratch|царапина|[skxtS]|
screen|экран|[skri:n]|
screw|шуруп|[skru:]|
sea|море|[si:]|
search|искать|[sq:tS]|
season|сезон, время года|['si:zn]|
seat|сиденье|[si:t]|
second|второй|['sekqnd]|
secret|секретный|['si:krIt]|
secretary|секретарь|['sekrqtrI]|
section|сечение, секция|['sekS(q)n]|
see|видеть|[si:]|
seed|зерно|[si:d]|
seem|казаться|[si:m]|
seize|хватать|[si:z]|
seldom|редко|['seldqm]|
self|сам|[self]|
sell|продать|[sel]|
send|посылать|[send]|
sense|чувство|[sens]|
sensitive|чувствительный|['sensItIv]|
sentence|приговор|['sentqns]|
separate|отдельный|['sepqreIt]|
serious|серьёзный|['sIqrIqs]|
serve|служить|[sq:v]|
service|служба|['sq:vIs]|
set|комплект, установка|[set]|
settle|решать, поселяться|['setl]|
seven|семь|['sevn]|
several|несколько, различный|['sevrql]|
severe|суровый|[sI'vIq]|
sew|шить|[sju:]|
shade|абажур|[SeId]|
shadow|тень|['Sxdqu]|
shake|встряска|[SeIk]|
shall|образование будущего времени|[Sxl]|
shallow|мелководный|['Sxlqu]|
shame|стыд|[SeIm]|
shape|форма|[SeIp]|
share|делить, доля|[SFq]|
sharp|острый|[SQ:p]|
shave|брить|['SeIv]|
she|она|[Si:-]|
sheep|овца|[SI:p]|
sheet|простыня|[Si:t]|
shelf|полка, отмель|[Self]|
shell|раковина, патрон|[Sel]|
shelter|убежище|['Seltq]|
shield|щит|[Si:ld]|
shilling|шиллинг|['SIlIN]|
shine|сиять|[SaIn]|
ship|корабль|[SIp]|
shirt|рубашка|[Sq:t]|
shock|шок, потрясение|[SOk]|
shoe|туфля|[Su:]|
shoot|побег|[Su:t]|
shop|магазин, цех|[SOp]|
shore|берег|[SO:]|
short|короткий|[SO:t]|
should|следует|[Sud]|
shoulder|плечо|['Squldq]|
shout|кричать|[Saut]|
show|показывать, шоу|[Squ]|
shower|ливень, указатель|['Squq]|
shut|закрывать|[SAt]|
sick|чувствующий тошноту|[sIk]|
side|сторона|[saId]|
sight|зрение|[saIt]|
sign|знак|[saIn]|
signal|сигнал|['sIgnl]|
silence|тишина|['saIlqns]|
silk|шелк|[sIlk]|
silver|серебро|['sIlvq]|
simple|простой|['sImpl]|
since|с тех пор|[sIns]|
sincere|искренний|[sIn'sIq]|
sing|петь|[sIN]|
single|одинокий, холостой|['sINLgl]|
sink|тонуть|[sINk]|
sir|сэр|[sq:]|
sister|сестра|['sIstq]|
sit|сидеть|[sIt]|
situation|ситуация|[,sItju'eISqn]|
six|шесть|[sIks]|
size|размер|[saIz]|
skill|навык|[skIl]|
skin|кожа|[skIn]|
skirt|юбка|[skq:t]|
sky|небо|[skaI]|
slave|раб, невольник|[sleIv]|
sleep|сон|[sli:p]|
slide|скользить|[slaId]|
slight|слабый, тонкий|[slaIt]|
slip|скольжение|[slIp]|
slope|уклон|[slqup]|
slow|медленный|[slqu]|
small|маленький|[smO:l]|
smell|запах|[smel]|
smile|улыбка|[smaIl]|
smoke|дым, курение|[smquk]|
smooth|гладкий|[smu:D]|
snake|змея|[sneIk]|
snow|снег|[snqu]|
so|так|[squ]|
soap|мыло|[squp]|
social|социальный|['squS(q)l]|
society|общество|[sq'saIqtI]|
sock|носок|[sOk]|
soft|мягкий|[sOft]|
soil|почва, грязь|[sOIl]|
soldier|солдат|['squldZq]|
solemn|торжественный|['sOlqm]|
solid|сплошной|['sOlId]|
solve|растворять, решать|[sOlv]|
some|некоторый|[sAm]|
somewhat|отчасти|['sAmwOt]|
son|сын|[sAn]|
soon|вскоре|[su:n]|
sore|обиженный|[sO:]|
sorry|извините!|['sOrI]|
sort|сорт, вид|[sO:t]|
soul|душа|[squl]|
sound|звук|[saund]|
soup|суп|[su:p]|
sour|кислый|['sauq]|
south|юг|[sauT]|
sow|сеять|[squ]|
space|пространство, космос|[speIs]|
spade|лопата, пика|[speId]|
spare|запасной|[spFq]|
speak|говорить|[spi:k]|
special|специальный|['speSql]|
speed|скорость|[spi:d]|
spell|заклинание|[spel]|
spend|тратить|[spend]|
spill|проливать|[spIl]|
spin|прясть|[spIn]|
spirit|душа|['spIrIt]|
spit|слюна, плевать|[spIt]|
spite|злость|[spaIt]|
splendid|блестящий|['splendId]|
split|расщеплять|[splIt]|
spoil|портить|[spO:Il]|
spoon|ложка|[spu:n]|
sport|спорт|[spO:t]|
spot|пятно|[spOt]|
spread|распространять|[spred]|
spring|весна, пружина|[sprIN]|
square|квадрат, сквер, площадь|[skwFq]|
stable|стабильный|['steIbl]|
staff|штат|[stQ:f]|
stage|сцена|[steIdZ]|
stain|пятно|[steIn]|
stairs|лестница|[stFqz]|
stamp|штамп|[stxmp]|
stand|стоять|[stxnd]|
standard|стандартный|['stxndqd]|
star|звезда|[stQ:]|
start|начало|[stQ:t]|
state|штат|[steIt]|
station|станция|['steIS(q)n]|
stay|оставаться|[steI]|
steady|прочный|['stedI]|
steal|красть|[sti:l]|
steam|пар|[sti:m]|
steel|сталь|[sti:l]|
steep|крутой, пропитывать|[sti:p]|
steer|править|[stIq]|
stem|стебель|[stem]|
step|шаг|[step]|
stick|палка|[stIk]|
stiff|плотный|[stIf]|
still|тихий|[stIl]|
sting|жало|[stIN]|
stir|помешивать|[stq:]|
stock|главный ствол, фонд|[stOk]|
stocking|чулок|['stOkIN]|
stomach|желудок|['stAmqk]|
stone|камень|[stqun]|
stop|остановка, перерыв|[stOp]|
store|запас|[stO:]|
storm|шторм|[stO:m]|
story|рассказ|['stO:rI]|
stove|кухонная плита|[stquv]|
straight|прямой|[streIt]|
strange|странный|[streIndZ]|
strap|полоска материи|[strxp]|
straw|солома|[strO:]|
stream|поток|[stri:m]|
street|улица|[stri:t]|
strength|сила|[streNT]|
stress|напряжение|[stres]|
stretch|растягивание|[stretS]|
strict|точный|[strIkt]|
strike|ударять|[straIk]|
string|веревка, струна|[strIN]|
strip|раздевать|[strIp]|
stripe|полоса|[straIp]|
strong|сильный|[strON]|
structure|структура|['strAktSq]|
struggle|борьба|['strAgl]|
student|студент|['stju:dqnt]|
study|изучать|['stAdI]|
stuff|материал, набивать|[stAf]|
stupid|глупый|['stju:pId]|
subject|тема, сюжет|['sAbdZIkt]|
substance|вещество, существо|['sAbstqns]|
succeed|достигнуть цели|[sqk'si:d]|
such|такой|[sAtS]|
suck|сосать|[sAk]|
sudden|внезапный|['sAdn]|
suffer|страдать|['sAfq]|
sugar|сахар|['Sugq]|
suggest|предлагать|[sq'dZest]|
suit|костюм, комплект|[sju:t]|
sum|сумма|[sAm]|
summer|лето|['sAmq]|
sun|солнце|[sAn]|
Sunday|воскресенье|['sAndI]|
supper|ужин|['sApq]|
supply|гибко|[sq'plaI]|
support|поддержка|[sq'pO:t]|
suppose|полагать|[sq'pquz]|
sure|уверенный|[Suq]|
surface|поверхность|['sq:fIs]|
surprise|удивление|[sq'praIz]|
surround|окружать|[sq'raund]|
suspect|подозреваемый|[sqs'pekt]|
suspicion|подозрение|[sqs'pISqn]|
swallow|глотать|['swOlqu]|
swear|клясться|[swFq]|
sweat|пот, потеть|[swet]|
sweep|подметать|[swi:p]|
sweet|сладкий|[swi:t]|
swell|набухать|[swel]|
swim|плавание|[swIm]|
swing|колебание|[swIN]|
sword|меч|[sO:d]|
sympathy|симпатия|['sImpqTI]|
system|система|['sIstIm]|
table|стол|['teIbl]|
tail|хвост|[teIl]|
tailor|портной|['teIlq]|
take|брать|[teIk]|
talk|разговор|[tO:k]|
tall|высокий|[tO:l]|
tame|прирученный|[teIm]|
