African|африканец, африканский|'xfrIkqn
each|каждый, любой|i:tS
early|ранний, своевременный, рано|'q:lI
earn|зарабатывать, заслуживать|q:n
earnings|заработок|'q:nINz
earth|земля|q:T
ease|свобода, легкость, облегчать|i:z
easily|легко, охотно|'i:zIlI
east|восточный, восток|i:st
eastern|восточный|'i:stqn
easy|легкий, удобный, спокойный|'i:zI
eat|есть, иметь вкус|i:t
economic|экономный, практический|,i:kq'nOmIk
economics|экономика|,i:kq'nOmIks
economy|экономика, экономия|I(:)'kOnqmI
editor|редактор, издатель|'edItq
editorial|редакционная статья|,edI'tO:rIql
education|образование, просвещение, обучение|,edju(:)'keISqn
educational|образовательный, воспитательный|,edju(:)'keISqnl
effect|результат, осуществлять, оформлять|I'fekt
effective|эффективный, действующий|I'fektIv
effort|усилие, попытка, произведение|'efqt
egg|яйцо|eg
eight|восемь, восьмерка|eIt
eighteen|восемнадцать|,eI'ti:n
either|любой|'aIDq
either...or|или...или,  либо...либо|
elect|выбирать|I'lekt
election|выборы, выбор|I'lekSqn
electric|электрический|I'lektrIk
electrical|электрический|I'lektrIkql
electricity|электричество|Ilek'trIsItI
element|элемент|'elImqnt
eleven|одиннадцать|I'levn
eliminate|исключать, уничтожать, ликвидировать|I'lImIneIt
else|еще, кроме|els
elsewhere|где-нибудь в другом месте|'els'wFq
embassy|посольство|'embqsI
emerge|появляться, выясняться, возникать|I'mq:dZ
emergency|непредвиденный случай|I'mq:dZqnsI
emphasis|подчеркивание, ударение, выразительность|'emfqsIs
emphasize|подчеркивать|'emfqsaIz
empire|империя, господство|'empaIrq
employ|нанимать, использовать, служба|Im'plOI
employee|служащий|,emplOI'i:
employer|наниматель|Im'plOIq
employment|работа, занятость, наем|Im'plOImqnt
empty|пустой|'emptI
enable|давать возможность, делать возможным|I'neIbl
encounter|встретить, сталкиваться|In'kauntq
encourage|ободрять, поощрять, подстрекать|In'kArIdZ
end|конец, окончание, цель, результат|end
ended|оконченный, законченный|
ending|окончание, завершение|'endIN
enemy|противник, враг|'enImI
energy|энергия|'enqdZI
enforce|принуждать, навязывать, проводить в жизнь|In'fO:s
engage|нанимать, занимать, обязывать|In'geIdZ
engine|машина, двигатель, локомотив|'endZIn
engineer|инженер, механик, машинист|,endZI'nIq
engineering|техника, машиностроение, махинации|,endZI'nIqrIN
enlarge|увеличивать, расширять, распространяться|In'lQ:dZ
enormous|громадный, ужасный|I'nO:mqs
enough|достаточно, до некоторой степени, достаточный|I'nAf
ensure|обеспечивать, гарантировать|In'Suq
enter|входить, вступать, вписывать|'entq
enterprise|предприятие, предприимчивость|'entqpraIz
entertain|принимать во внимание, развлекать|,entq'teIn
entertainment|зрелище, развлечение|,entq'teInmqnt
enthusiasm|энтузиазм|In'Tju:zIxzm
entire|полный, целый, сплошной|In'taIq
entirely|совершенно, полностью, исключительно|In'taIqlI
entitle|давать право, титуловать|In'taItl
entry|вход, вступление, поступление|'entrI
environment|окружение, окружающая среда|In'vaIqrqnmqnt
equal|равный, одинаковый, соответствующий|'i:kwql
equality|равенство, равноправие|I(:)'kwOlItI
equally|поровну, одинаково, в равной степени|'i:kwqlI
equip|оборудовать, снабжать, обеспечивать|I'kwIp
equipment|оборудование, оснащение, снаряжение|I'kwIpmqnt
equity|беспристрастность, справедливость|'ekwItI
escape|бегство, побег, спасение, бежать|Is'keIp
especially|особенно, в особенности, главным образом|Is'peSqlI
essential|обязательный, существенный, важный|I'senSql
establish|учреждать, создавать, утверждать|Is'txblIS
establishment|установление, учреждение, положение|Is'txblISmqnt
estate|поместье, имущество, сословие|Is'teIt
estimate|оценка, проект, оценивать|'estImeIt
even|даже, как раз, ровный, четный|'i:vqn
evening|вечер|'i:vnIN
event|событие, случай, исход, результат|I'vent
eventually|в конечном счете, в конце концов|I'ventSqlI
ever|либо, когда бы то ни было|'evq
every|каждый, всякий|'evrI
everybody|каждый, всякий, все|'evrIbOdI
everyone|все, каждый, всякий|'evrIwAn
everything|все|'evrITIN
everywhere|везде, повсюду|'evrIwFq
evidence|свидетельство, показание|'evIdqns
exactly|точно, как раз, именно|Ig'zxktlI
examination|осмотр, обследование, экзамен, проверка|Ig,zxmI'neISqn
examine|рассматривать, осматривать|Ig'zxmIn
example|пример, экземпляр|Ig'zQ:mpl
exceed|превышать, превосходить|Ik'si:d
excellent|превосходный, отличный|'eksqlqnt
exception|исключение, возражение, оговорка|Ik'sepSqn
exchange|обмен, замена, менять, обменивать|Iks'tSeIndZ
excite|возбуждать, вызывать|Ik'saIt
excited|возбужденный|
exclude|исключать|Iks'klu:d
exclusive|исключительный, недоступный|Iks'klu:sIv
executive|исполнительная власть, правительственный|Ig'zekjutIv
exercise|упражнение, осуществление, упражнять|'eksqsaIz
exhibition|выставка, показ, проявление|,eksI'bISqn
exist|быть, существовать, иметься|Ig'zIst
existence|существование|Ig'zIstqns
expand|расширять, распространять|Iks'pxnd
expansion|расширение, распространение|Iks'pxnSqn
expect|ожидать, ждать, полагать|Iks'pekt
expected|предполагаемый, ожидаемый|
expel|изгонять, исключать|Iks'pel
expenditure|расход, статья расходов|Iks'pendItSq
expense|расход, счет, цена|Iks'pens
expensive|дорогой|Iks'pensIv
experience|опыт, опытность|Iks'pIqrIqns
experienced|опытный|Iks'pIqrIqnst
experiment|эксперимент|Iks'perIment
expert|опытный, квалифицированный, специалист|'ekspq:t
explain|объяснять|Iks'pleIn
explanation|объяснение|,eksplq'neISqn
explode|взрывать, подрывать|Iks'plqud
explosion|взрыв, вспышка|Iks'plquZqn
export|экспорт, экспортировать|'ekspO:t
expose|выставлять, подвергать, разоблачать|eks'pquzeI
express|выражать, отражать|Iks'pres
extend|простирать, расширять, увеличивать|Iks'tend
extension|протяженность, расширение, продление|Iks'tenSqn
extent|степень, размер, величина|Iks'tent
extra|дополнительный, особый, дополнительно|'ekstrq-
extraordinary|необычайный, чрезвычайный|Iks'trO:dnrI
extreme|крайний, чрезвычайный|Iks'tri:m
eye|глаз, разглядывать, держать под наблюдением|aI
eye witness|свидетель|
face|лицо, поверхность, грань, быть обращенным к|feIs
facility|легкость, способность, умение|fq'sIlItI
fact|факт, истина, действительность|fxkt
factor|фактор|'fxktq
factory|фабрика, завод|'fxktqrI
faculty|способность, власть, факультет|'fxkqltI
failure|неудача, провал, недостаток|'feIljq
fair|ярмарка, выставка, честный, справедливый|fFq
fairly|честно, справедливо, довольно|'fFqlI
faith|вера, верность, обещание|feIT
fall|падать, пасть, погибнуть, выпадать, попадать|fO:l
false|ложный, фальшивый|fO:ls
familiar|близкий, знакомый|fq'mIljq
famous|знаменитый|'feImqs
fan|веер, фен, болельщик|fxn
far|далеко, давно, гораздо, намного, дальний|fQ:
farmer|фермер|'fQ:mq
fashion|образ, манера, фасон, стиль|'fxSqn
fashionable|модный, фешенебельный|'fxSnqbl
fat|жирный, обильный|fxt
father|отец|'fQ:Dq
fault|недостаток, вина, ошибка|fO:lt
favour|расположение, предпочтение, поддерживать|'feIvq
favourable|благоприятный|'feIvqrqbl
fear|страх, опасение, бояться, опасаться|fIq
feature|черта, признак, особенность|'fi:tSq
federal|федеральный|'fedqrql
federation|федерация|,fedq'reISqn
feed|кормить, питать|fi:d
feel|чувствовать, испытывать, воспринимать|fi:l
feeling|чувство|'fi:lIN
fellow|товарищ, собрат, аспирант|'felqu
festival|праздник, фестиваль|'festqvl
few|немного, мало, незначительное количество|fju:
field|поле, участок, область, ставить ставку|fi:ld
fifth|пятый|fIfT
fifty|пятьдесят|'fIftI
fight|бой, борьба, бороться, сражаться|faIt
fighting|бой, сражение|'faItIN
figure|изображать, представлять себе, цифра, фигура|'fIgq
file|подшивка, досье, картотека|faIl
fill|наполнять, заполнять, занимать|fIl
film|пленка, фильм, кино, снимать фильм|fIlm
filming|киносъемка|
final|финал,  последний|'faInl
finally|в конце концов, окончательно|'faInqlI
finance|финансы, финансировать|faI'nxns
financial|финансовый|faI'nxnSql
find|находить, обнаруживать|faInd
finding|находка, открытие, решение|'faIndIN
fine|ясный, погожий, прекрасный, очищать|faIn
finger|палец|'fINgq
finish|конец, завершенность, завершать, доводить до конца|'fInIS
fire|огонь, пожар, жар, пыл, зажигать, взрывать, воспламенять|'faIq
firm|твердый, крепкий, решительный, фирма|fq:m
firmly|твердо, решительно|
first|первый|fq:st
fiscal|сборщик налогов, судебный исполнитель, финансовый|'fIskql
fish|рыба|fIS
fit|соответствовать, годиться, подгонять, пригодный|fIt
five|пять, пятерка|faIv
fix|устанавливать, фиксировать|fIks
fixture|что-либо твердо установленное, заранее назначенный день|'fIksttSq
flag|флаг, флагман|flxg
flame|пламя, сияние, пыл|fleIm
flat|плоский, ровный, мелкий|flxt
fleet|флот|fli:t
flight|полет, рейс, перелет|flaIt
floor|пол, этаж, аудитория|flO:
flow|течь, происходить|flqu
flower|цветок, цветение|'flauq
fly|летать, развеваться, спасаться бегством|flaI
follow|следовать, следить|'fOlqu
following|следующий|'fOlquIN
food|пища, еда, продовольствие|fu:d
foot|идти пешком, подсчитывать, нога, ступня, шаг, основание|fut
football|футбол|'futbO:l
for|в течение, в, к, для, за, на, вместо, потому что|fO:
force|вынуждать, брать силой, заставлять|fO:s
forced|принудительный, принужденный|fO:st
forecast|предсказание, прогноз|'fO:kQ:st
foreign|иностранный, чужой, чуждый|'fOrIn
forest|лес|'fOrIst
forget|забывать, упустить из виду|fq'get
form|форма, вид, стиль, класс, придавать форму|fO:m
formal|официальный, формальный|'fO:mql
formation|образование, структура, формирование|fO:'meISqn
formed|сформировавшийся, организованный|
former|бывший, первый|'fO:mq
formerly|прежде, некогда|
forth|вперед, дальше, впредь|fO:T
fortnight|две недели, четырнадцать дней|'fO:tnaIt
forty|сорок|'fO:tI
forum|форум|'fO:rqm
forward|вперед, дальше, впредь, далее, нападающий|'fO:wqd
foundation|основание, основа, фонд|faun'deISqn
four|четыре, четверка|fO:
frame|каркас, конструкция, структура|freIm
frank|искренний, откровенный, открытый|frxNk
free|бесплатно, освобождать|fri:
freedom|свобода, освобождение|'fri:dqm
freeze|замерзать, замораживать, замораживание|fri:z
frequently|часто, постоянно|
fresh|свежий, новый, бодрый|freS
friend|друг, товарищ, сторонник|frend
friendship|дружба|'frendSIp
fringe|бахрома, край|frIndZ
from|из, с|frOm
front|передний план, передний|frAnt
fuel|топливо, горючее|fjuql
full|полный, наполненный, прямо, точно|ful
fully|полностью, совершенно|'fulI
function|функция, торжество|'fAnNkSqn
fund|фонд|fAnd
fundamental|основной, существенный|,fAndq'mentl
funny|забавный|'fAnI
fur|мех|fq:
furlong|восьмая часть мили (= 201м)|'fq:lON
further|более отдаленный|'fq:Dq
future|будущее, будущий|'fju:tSq
gain|выигрыш, получать|geIn
gallery|галерея|'gxlqrI
game|игра|geIm
gang|бригада|gxN
gap|брешь|gxp
garden|сад, огород|'gQ:dn
gardener|садовник|'gQ:dnq
gas|газ|gxs
gate|ворота|geIt
gather|собирать|'gxDq
gene|ген|dZi:n
general|генерал, общий|'dZenqrql
generally|обычно|'dZenqrqlI
generation|поколение|,dZenq'reISqn
gentleman|джентльмен|'dZentlmqn
get|доставать, получать|get
girl|девочка|gq:l
give|давать|gIv
given|данный|'gIvn
glass|стекло|glQ:s
go|идти|gquz
go fishing|ловить рыбу|
goal|цель|gqul
god|бог|gOd
going|работающий, действующий, существующий|'gquIN
good|добро, хороший|gud
govern|управлять|'gAvqn
government|правительство|'gAvnmqnt
governor|губернатор|'gAvqnq
graduate|окончивший ВУЗ|'grxdjueIt
grain|зерно, раздроблять|greIn
grand|величественный|grxnd
grant|дар, даровать|grQ:nt
grass|трава|grQ:s
grave|серьезный, важный|greIv
great|большой, великий|greIt
greatly|очень, весьма|'greItlI
green|зеленый, листва, растительность|gri:n
grey|серый|greI
gross|большой|grqus
ground|земля, местность|graund
grow|расти|grqu
growth|развитие|grquT
guest|гость|gest
guidance|руководство|'gaIdqns
guideline|директива|
guilty|виновный|'gIltI
hair|волос|hFq
half|наполовину|hQ:f
hall|зал|hO:l
ham|окорок, ветчина|hxm
hand|рука, вручать|hxnd
handicap|скачки|'hxndIkxp
handle|регулировать|'hxndl
handling|обращение|'hxndlIN
hang|привязывать, вешать, висеть|hxN
happen|случаться|'hxpqn
happy|счастливый|'hxpI
hard|сильно, твердый|hQ:d
hardly|еле, едва|'hQ:dlI
hat|шапка|hxt
hatred|ненависть|'heItrId
have|быть должным, иметь|hxv
hay|сено|heI
head|голова, возглавлять|hed
headline|заголовок|'hedlaIn
headquarters|квартира|'hed'kwO:tqz
health|здоровье|helT
hear|слушать|hIq
hearing|слух|'hIqrIN
heart|сердце, душа|hQ:t
heat|жара, зной, нагревать|hi:t
heavily|тяжело|'hevIlI
heavy|крупный, тяжелый|'hevI
height|высота|haIt
helicopter|вертолет|'helIkOptq
help|помощь, помогать|help
her|ее, свой|hq:
here|здесь, тут|hIq
hero|герой|'hIqrqu
herself|себя|hq:'self
hide|прятать|haId
high|высокий, высоко, максимум|haI
highly|сильно|'haIlI
hill|холм|hIl
himself|собой|hIm'self
his|его, свой|hIz
historic|исторический|hIs'tOrIk
history|история|'hIstqrI
hold|власть, влияние, удерживать|hquld
holder|обладатель|'hquldq
holding|держащий|'hquldIN
hole|яма|hqul
holiday|праздник|'hOlqdI
honour|честь, почитать|'Onq
hope|надежда, надеяться|hqup
horse|конь|hO:s
hospital|госпиталь, больница|'hOspItl
hostility|враждебность|hOs'tIlItI
hotel|гостиница|hqu'tel
hour|час|'auq
house|здание|haus
housing|дом|'hauzIN
how|каким образом, как|hau
however|как бы ни, тем не менее|hau'evq
huge|огромный|hju:dZ
human|человеческий|'hju:mqn
hundred|сто|'hAndrqd
hunt|охота, охотиться|hAnt
husband|супруг|'hAzbqnd
ice|лед|aIs
idea|идея|aI'dIq
ideological|идеологический|,aIdIq'lOdZIkql
if|если|If
ignore|игнорировать|Ig'nO:
illegal|нелегальный|I'li:gql
illness|болезнь|'IlnIs
image|изображение, образ, имидж|'ImIdZ
imagine|предполагать|I'mxdZIn
immediate|непосредственный|I'mi:djqt
immediately|немедленно|I'mi:djqtlI
immigrant|иммигрант|'ImIgrqnt
immigration|иммиграция|,ImI'greISqn
impact|удар|'Impxkt
implement|выполнять|'ImplIment
imply|подразумевать|Im'plaI
importance|значение|Im'pO:tqns
important|значительный|Im'pO:tqnt
impose|налагать|Im'pquz
impossible|невозможный|Im'pOsqbl
impressive|впечатляющий|Im'presIv
improve|совершенствовать|Im'pru:v
improvement|улучшение|Im'pru:vmqnt
in|в, на, внутри|In
inadequate|неадекватный|In'xdIkwIt
inch|дюйм|IntS
incident|инцидент|'InsIdqnt
include|содержать|In'klu:d
including|включая|In'klu:dIN
income|доход|'InkAm
increase|рост|'Inkri:s
increasing|возрастающий|
increasingly|все больше и больше|In'kri:sINlI
indeed|действительно|In'di:d
independence|независимость|,IndI'pendqns
independent|независимый|,IndI'pendqnt
index|индекс, указатель, показатель|'Indeks
indicate|указывать|'IndIkeIt
indication|признак, указание, знак|,IndI'keISqn
indictment|обвинительный акт|In'daItmqnt
individual|личность, индивидуальный|,IndI'vIdjuql
industrial|индустриальный|In'dAstrIql
industry|промышленность|'IndqstrI
inevitable|неизбежный|In'evItqbl
inflation|инфляция|In'fleISqn
inform|сообщать|In'fO:m
information|информация|,Infq'meISqn
initial|начальный|I'nISql
initiate|начинать|I'nISIeIt
initiative|инициатива|I'nISIqtIv
inject|впрыскивать|In'dZekt
injunction|предписание|In'dZANkSqn
injure|ушибиться|'IndZq
injury|телесное повреждение|'IndZqrI
innings|подача (в игре с мячом)|'InINz
inquiry|расследование|In'kwaIqrI
insist|настаивать|In'sIst
inspector|инспектор|In'spektq
instance|пример|'Instqns
instead|взамен, вместо|In'sted
institute|институт|'InstItju:t
institution|учреждение|,InstI'tju:Sqn
instruct|инструктировать|In'strAkt
instrument|инструмент|'Instrumqnt
insurance|страхование, страховка|In'Suqrqns
integration|объединение|,IntI'greISqn
intelligence|интеллект|In'telIdZqns
intend|намереваться|In'tend
intensive|интенсивный|In'tensIv
intent|цель|In'tent
intention|намерение|In'tenSqn
interest|интерес, интересовать|'IntrIst
interested|заинтересованный|'IntrIstId
interesting|интересный|'IntrIstIN
internal|внутренний|In'tq:nl
international|интернациональный|,Intq(:)'nxSqnl
intervention|посредничество|,Intq(:)'venSqn
into|к, до, в|'Intu
introduce|вводить|,Intrq'dju:s
introduction|введение, вступление|,Intrq'dAkSqn
invest|помещать капитал|In'vest
investigate|исследовать|In'vestIgeIt
investigation|следствие|In,vestI'geISqn
investment|капиталовложение|In'vestmqnt
investor|вкладчик|In'vestq
invitation|по приглашению|,InvI'teISqn
invite|приглашать|In'vaIt
involve|включать в себя|In'vOlv
involvement|вмешательство|In'vOlvmqnt
island|остров|'aIlqnd
isolate|изолировать|'aIsqleIt
issue|издание, издавать|'ISu:
it|оно|It
item|статья|'aItqm
its|его, ее|Its
itself|себя, себе|It'self
jacket|куртка|'dZxkIt
jail|тюремное заключение, заключать в тюрьму|dZeIl
jet|реактивный двигатель|dZet
job|работа, дело|dZqub
jockey|жокей|'dZOkI
join|соединять|dZOIn
joint|объединенный, соединение|dZOInt
journal|журнал|'dZq:nl
journalist|журналист|'dZq:nqlIst
judge|судья, судить|'dZAdZ
judgement|приговор|'dZAdZmqnt
junior|младший|'dZu:njq
jury|присяжные заседатели|'dZuqrI
just|именно, как раз, справедливый|dZAst
justice|справедливость|'dZAstIs
justify|оправдывать|'dZAstIfaI
keen|острый|ki:n
keep|держать|ki:p
kill|убивать|kIl
kind|сорт,  доброжелательный|kaInd
king|король|kIN
knock|стучать|nOk
know|знать|nqu
knowledge|знание|'nOlIdZ
laboratory|лаборатория|lq'bOrqtqrI
lack|недостаток, нуждаться|lxk
lady|леди|'leIdI
lake|озеро|leIk
land|земля|lxnd
lane|дорожка|leIn
language|язык|'lxNgwIdZ
large|многочисленный|lQ:dZ
largely|обильно|'lQ:dZlI
last|длиться, прошлый, в последний раз|lQ:st
late|поздно, опоздавший|leIt
later|позднее|'leItq
launch|начинать|lO:ntS
law|закон, право|lO:
lawyer|юрист, адвокат|'lO:jq
lay|класть|leI
lead|руководство, руководить|li:d
leader|лидер|'li:dq
leadership|руководство, управление|'li:dqSIp
leading|лидирование, руководящий|'li:dIN
league|лига|li:g
learn|узнавать|lq:n
lease|аренда, сдавать в аренду|li:s
leave|уход, уходить, оставлять, покидать|li:v
leaving|отъезд|
leg|нога, ножка|leg
legal|законный|'li:gql
legislation|законы, законодательство|,ledZIs'leISqn
legislative|законодательный|'ledZIslqtIv
legislature|законодательный орган|'ledZIsleItSq
legitimate|обоснованный|lI'dZItImeIt
lend|давать взаймы|lend
length|длина|leNT
let|пускать, разрешать|let
letter|буква, письмо|'letq
level|уровень|'levl
liaison|связь|lI(:)'eIzOn
lib|движение за освобождение|
liberal|либерал, либеральный|'lIbqrql
liberation|освобождение|,lIbq'reISqn
library|библиотека|'laIbrqrI
licence|лицензия|'laIsqns
lie|ложь, лгать|laI
life|жизнь|laIf
lift|повышение, поднимать|lIft
light|светлый, легкий, светить|laIt
like|подобный, нравиться|laIk
likely|вероятно, правдоподобный|'laIklI
limit|предел, ограничивать|'lImIt
limited|ограниченный|'lImItId
line|линия, проводить линии|laIn
liner|лайнер|'laInq
link|звено, связь, связывать|lINk
lion|лев|'laIqn
list|список, вносить в список|lIst
listen|слушать|'lIsn
literary|литературный|'lItqrqrI
little|немного, незначительный|'lItl
live|живой, яркий|laIv
living|живой, средства к жизни|'lIvIN
loan|ссуда|lqun
lobby|лобби|'lObI
local|местный, местная организация|'lqukql
location|местоположение|lqu'keISqn
lock|запирать|lOk
lodge|разместить|lOdZ
lonely|одинокий|'lqunlI
long|длинный, долго|lON
look|взгляд, смотреть|luk
loose|свободный|lu:s
lorry|грузовик|'lOrI
lose|терять|lu:z
loss|потеря|lOs
lot|жребий, судьба|lOt
love|любовь, любить|lAv
low|низкий, тихий, низко|lqu
lower|опускать|'lquq
loyal|лояльный|'lOIql
lucidly|понятно, ясно|
lucky|счастливый|'lAkI
machine|машина|mq'Si:n
machinery|механизмы|mq'Si:nqrI
magazine|журнал|,mxgq'zi:n
magic|магический|'mxdZIk
magistrate|магистрат|'mxdZIstreIt
mail|почта|meIl
main|главный|meIn
mainly|главным образом|'meInlI
maintain|поддерживать|meIn'teIn
maintenance|поддержание|'meIntqnqns
major|большой, основной|'meIdZq
majority|большинство|mq'dZOrItI
make|производить|meIk
maker|производитель|'meIkq
male|мужчина, мужской|meIl
man|человек, мужчина|mxn
manage|управлять|'mxnIdZ
management|управление|'mxnIdZmqnt
manager|управляющий|'mxnIdZq
manifesto|манифест|,mxnI'festqu
manner|образ действия|'mxnq
manufacture|производство, производить|,mxnju'fxktSq
many|многие|'menI
march|марш, маршировать|mQ:tS
margin|резерв|'mQ:dZIn
mark|отмечать|mQ:k
market|рынок ,сбывать|'mQ:kIt
marriage|брак|'mxrIdZ
marry|жениться|'mxrI
marshal|маршал|'mQ:Sql
mass|масса|mxs
massive|массивный|'mxsIv
master|мастер, хозяин|'mQ:stq
match|матч|mxtS
material|материал|mq'tIqrIql
materialize|материализовать, осуществлять|mq'tIqrIqlaIz
matter|материя, дело, случай|'mxtq
maximum|максимум|'mxksImqm
may|мочь|meI
mayor|мэр|mFq
mean|означать|mi:n
means|способ, средства|mi:nz
meantime|между тем|'mi:n'taIm
meanwhile|тем временем|'mi:n'waIl
measure|мера, измерять|'meZq
meat|мясо|mi:t
medical|медицинский|'medIkql
medium|способ|'mi:djqm
meet|встречать|mi:t
meeting|митинг|'mi:tIN
member|член|'membq
membership|членство|'membqSIp
memory|память|'memqrI
menace|опасность|'menqs
mental|умственный|'mentl
mention|упоминать, упоминание|'menSqn
merchant|торговец|'mq:tSqnt
merely|единственно|'mIqlI
merger|слияние|'mq:dZq
message|послание|'mesIdZ
metal|металл|'metl
method|метод|'meTqd
metropolitan|столичный|,metrq'pOlItqn
midday|полдень|'mIddeI
middle|середина, средний|'mIdl
midnight|полночь|'mIdnaIt
mighty|мощный|'maItI
mile|миля|maIl
military|военный|'mIlItqrI
milk|молоко|mIlk
mill|завод, фабрика|mIl
million|миллион|'mIljqn
mind|ум, разум|maInd
mine|шахта, производить горные работы|maIn
miner|шахтер|'maInq
minister|министр|'mInIstq
ministry|министерство|'mInIstrI
minor|меньший|'maInq
minority|меньшинство|maI'nOrItI
minute|минута|maI'nju:t
mirror|зеркало|'mIrq
miss|пропустить|mIs
missile|ракета|'mIsaIl
mission|миссия|'mISqn
mistake|ошибка|mIs'teIk
mix|смешивать|mIks
model|модель|'mOdl
moderate|умеренный|'mOdqreIt
modern|современный|'mOdqn
modest|скромный|'mOdIst
moment|момент|'mqumqnt
money|деньги|'mAnI
monopoly|монополия|mq'nOpqlI
month|месяц|mAnT
moon|луна|mu:n
moral|мораль, моральный|'mOrql
more|больше|mO:
morning|утро|'mO:nIN
mortgage|заклад, залог|'mO:gIdZ
most|самый, наиболее|mqust
mostly|главным образом|'mqustlI
mother|мать|'mADq
motion|движение, ход|'mquSqn
motor|мотор|'mqutq
mount|взбираться|maunt
mountain|гора|'mauntIn
move|движение, двигаться|mu:v
movement|движение|'mu:vmqnt
much|много, очень, почти|mAtS
municipal|муниципальный|mju(:)'nIsIpql
murder|убийство, убивать|'mq:dq
museum|музей|mju(:)'zIqm
music|музыка|'mju:zIk
must|выражает долженствование|mAst
mutual|взаимный, общий|'mju:tjuql
my|мой|maI
myself|себе, себя, собой|maI'self
name|имя, название, называть, упоминать|neIm
nation|страна, государство|'neISqn
national|национальный|'nxSqnl
nationalist|националист|'nxSnqlIst
natural|естественный|'nxtSrql
nature|природа|'neItSq
naval|морской|'neIvql
near|близкий, недалеко,  у,  возле|nIq
nearby|поблизости|'nIqbaI
nearly|почти|'nIqlI
necessarily|обязательно|'nesIsqrIlI
necessary|необходимо|'nesIsqrI
necessity|необходимость|nI'sesItI
neck|шея, ворот|nek
need|потребность, нуждаться|ni:d
neglect|пренебрегать|nI'glekt
negotiate|договариваться|nI'gquSIeIt
negotiation|переговоры|nI,gquSI'eISqn
negotiator|представитель на переговорах|nI'gquSIeItq
neighbour|сосед|'neIbq
neighbourhood|соседство|'neIbqhud
neither|ни тот, ни другой|'naIDq
neither ...nor|ни...ни|
net|чистый, общий|net
network|сеть|'netwq:k
neutron|нейтрон|'nju:trOn
never|никогда|'nevq
nevertheless|все же, тем не менее|,nevqDq'les
new|новый|nju:
newly|вновь|'nju:lI
news|новость|nju:z
newspaper|газета|'nju:s,peIpq
next|следующий|nekst
nice|приятный, тонкий|naIs
night|ночь|naIt
nine|девять|naIn
no|никакой|nquz
nobody|никто|'nqubqdI
nomination|выдвижение кандидатуры|,nOmI'neISqn
none|никто|nAn
nor|и не, также не|nO:-
normal|нормальный|'nO:mql
normally|обычно|'nO:mqlI
north|северный|nO:T
northern|северный|'nO:Dqn
not|ни, не|nOt
note|записка, замечать|nqut
nothing|ничего|'nATIN
notice|внимание, отмечать|'nqutIs
now|теперь, сейчас|nau
nuclear|ядерный|'nju:klIq
number|число|'nAmbq
nurse|няня, сиделка|nq:s
object|возражать|'ObdZIkt
objection|возражение|qb'dZekSqn
objective|цель|qb'dZektIv
observe|наблюдать|qb'zq:v
observer|наблюдатель|qb'zq:vq
obtain|добиваться|qb'teIn
obvious|очевидный|'ObvIqs
obviously|очевидно|
occasion|случай|q'keIZqn
occupation|занятие|,Okju'peISqn
occupy|занимать|'OkjupaI
occur|случаться|q'kq:
ocean|океан|'quSqn
odd|нечетный|Od
of|за|Ov
offence|нарушение|q'fens
offer|предложение, предлагать|'Ofq
office|должность|'OfIs
officer|офицер|'OfIsq
official|официальный, чиновник|q'fISql
offset|смещенный|'Ofset
often|часто|'Ofn
oil|нефть|OIl
old|старый|quld
on|на, по|On
on behalf of|от имени|
once|однажды|wAns
one|единый|wAn
only|единственный, только|'qunlI
open|открывать, открытый|'qupqn
opening|отверстие, начальный|'qupnIN
opera|опера|'Opqrq
operate|действовать|'OpqreIt
operating|управляющий|'OpqreItIN
operation|операция|,Opq'reISqn
operator|оператор|'OpqreItq
opinion|мнение|q'pInjqn
opponent|соперник|q'pqunqnt
opportunity|возможность|,Opq'tju:nItI
oppose|противиться|q'pquz
opposite|противоположный|'OpqzIt
opposition|противодействие|,Opq'zISqn
oppression|притеснение|q'preSqn
optimism|оптимизм|'OptImIzm
or|или|O:
orchestra|оркестр|'O:kIstrq
order|порядок, приказывать|'O:dq
orderly|аккуратный|'O:dqlI
ordinary|обычный|'O:dnrI
organization|организация|,O:gqnaI'zeISqn
organize|организовывать|'O:gqnaIz
organizer|организатор|'O:gqnaIzq
original|оригинальный|q'rIdZqnl
other|другой|'ADq
otherwise|иначе|'ADqwaIz
ought|долженствование|O:T
our|наш|'auq
out|внешний|aut-
outcome|результат|'autkAm
outlaw|объявлять вне закона|'autlO:
output|выпуск|'autput
outside|внешний, снаружи|'aut'saId
outstanding|выдающийся|aut'stxndIN
over|верхний, всеобщий|'quvq-
overall|всеобщий|,quvqr'O:l
overcome|преодолеть|,quvq'kAm
overlook|надзирать|,quvq'luk
overnight|накануне вечером|'quvq'naIt
oversea|заморский|'quvq'si:z
overtime|сверхурочное время|'quvqtaIm
overwhelming|несметный|,quvq'welmIN
own|собственный, владеть|qun
owner|владелец|'qunq
ownership|собственность|'qunqSIp
oxygen|кислород|'OksIdZqn
pace|шагать|'peIsI
pacific|мирный|pq'sIfIk
pack|пакет, упаковывать|pxk
package|пакет|'pxkIdZ
pact|пакт|pxkt
page|страница|peIdZ
paint|красить|peInt
painter|художник|'peIntq
painting|живопись|'peIntIN
pair|пара|pFq
palace|дворец|'pxlIs
panel|комиссия|'pxnl
paper|бумага|'peIpq
parade|парад|pq'reId
parent|родитель|'pFqrqnt
