а именно|as follows
древесница|tree frog
древесный масса|wood pulp
древесный уголь|charcoal
древесный утка|whistling duck;tree duck
древесный|wood
древний искусство|ancient art
древний|ancient
древность|antiquity
древовидный|tree-type
дредноут|dreadnought
дрезден|dresden
дрезина|handcar
дрейф|driftage
дрексел|drexel
дрель на батарейках|cordless drill
дрель|drill
дремать|nap
дремота|nap
дренаж|drainage
дренажосушение|dranage
дрессированный собака|trained dog
дрессированный|performing
дробилка|grinder
дробить|crush
дробление|crushing
дробленый|crushed
дробный|fractional
дробовик|shotgun
дробь|fraction
дрова|firewood
дровяной сарай|woodshed
дрогнуть|quail
дрожание|flutter
дрожать|tremble;shiver
дрожащий|tremulous
дрожжевой синдром|yeast syndrome
дрожжевой|yeast
дрожжи|yeast
дрожки|droshky
дрожь|tremor
дрозд|thrush
дромадер|dromedary
дроссель|throttle;elec)choke
дроссельный|throttle;elec)choke
дротик|javelin
дрофа|bustard
друг друга|each other
друг другу|to each other
друг к другу|to one another
друг на хорошие времена|fair weather friend
друг по переписке|pen pal
друг с другом|with each other
друг|friend
другие|otherothers
другими словами|in other words
другой|otheranother
дружба|friendship
дружелюбие|friendliness
дружелюбно|friendly
дружелюбный|friendly
дружеский|friendly
дружественнее|friendlier
дружественный атмосфера|friendly climate
дружественный страна|friendly country
дружественный|friend
дружить|be friends
дружно|amicably
дружный|friendly
дряблость|flabbiness
дряблый|flaccid
дрянной|lousy;trashy
дрянь|gunk
дряхлый|decrepit
дс|ds
дтмф|dtmf
дуарт|duarte
дуб|oak
дубасить|bludgeon;cudgel
дубильный кислота|tannic acid
дубильщик|tanner
дубина|blackjack;cudgel
дубинка|bat;shillelagh;nightstick
дублер|stand-in;understudy
дубликат|copy
дублин|dublin
дублинский|dublin
дублирование|duplication
дублированный|dubbed
дублировать|duplicate
дубль|copy
дубовый|oak
дубонос|grosbeak
дубсек|dubcek
дубук|dubuque
дуврский пролив|strait of dover
дуга|arc
дуглас|douglas
дуговой|arc
дугообразный|arched
дугс|doug's
дудка|fife
дудл|doodle
дудлей|dudley
дукат|ducat
дуло пистолета|gunpoint
дуло|gunpoint
дулут|duluth
дума|duma
думать|think
дунай|danube
дундич|dundich
дункан|duncan
дуновение|waft
дуплекс|duplex
дуплексный передача|duplexing
дуплексный|duplex
дуплет|bank shot
дупло|hollow
дурак|fool
дуракоупорный|foolproof
дуралей|ninny
дуранго|durango
дурант|durant
дурафлейм|duraflame
дурацкий колпак|dunce cap
дурацкий|fool
дурачество|tomfoolery
дурачиться|fool around
дурбан|durban
дурень|oaf
дурман|narcotic;thorn apple
дурманить|dope
дурно|ill
дурной глаз|jinx;evil eye
дурной поведение|misconduct
дурной предчувствие|foreboding
дурной чувство|sinking feeling
дурной|evil
дурхам|durham
дуршлаг|colander
дутый цена|fancy price
дутый|blown;inflated
дуть|blow;r)sulk
дух силен|spirit is strong
дух|spirit
духи|perfume;scent
духов день|whitmonday
духовенство|clergy
духовка|dutch oven
духовный лицо|cleric
духовный око|minds eye
духовный семинария|heological seminary
духовный|spiritual
духовой инструмент|wind instrument
духовой оркестр|brass band
духовой ружье|blowgun
духота|stuffiness
дуче|duce
душ|shower
душа|soul
душевая|shower room
душевный боль|heartache
душевный покой|peace of mind
душевный|emotional
душераздирающий|hair-raising
души не чаять|dote
душистый горошек|sweet pea
душистый перец|allspice
душистый|fragrant;sweet-smelling;redolent;odorous
душить|choke;throttle;smother
душный|stuffy
дуэйн|duane
дуэлист|duelist
дуэль|duel
дуэнья|chaperone
дуэт|duo
дхл|dhl
дым|smoke
дымить|smoke
дымка|haze
дымный|smoky
дымовой завеса|smoke screen
дымовой труба|smokestack
дымовой шашка|smudge pot
дымовой|smoke
дымоход|flue;stovepipe
дыня|melon
дыра|hole
дыхание|breath;respiration;g)breathing
дыхательный горло|windpipe
дыхательный|respiratory
дышать|breathe
дьявол|devil
дьявольский|devilish
дьякон|deacon
дэвид|david
дэвис|davis
дэйв|dave
дэйви|davie
дэйлз|dalles
дэйтон|dayton
дэнди|dandy
дю буа|du boise
дюбай|dubai
дюжина|dozen
дюйм|inch
дюймовый|inch
дюна|dune
дюралюминиевый|duralaumin
дюралюминий|duralaumin
дюссельдорф|dusseldorf
дягиль|angelica
дядя|uncle
дятел|woodpecker
евангелие|gospel
евангелист|evangelist
евангелический|evangelical
евгеника|eugenics
евгенический|eugenic
евнух|eunuch
евразийский|eurasian
еврей|jew
еврейка|jewess
еврейский|jewish
евро|euro
евровалюта|eurocurrency
евро-дисней|euro disney
евродоллар|eurodollar
еврокард|eurocard
евроновость|euronews
европа|europe
европеец|european
европейский ассоциация есма|ecma
европейский|european
европеоид|caucasian
европий|europium
еврорынок|euromarket
евроспорт|eurosports
еврочек|eurocheck
евстахиева труба|eustachian tube
ега|ega
египет|egypt
египетский|egyptian
египтолог|egyptologist
египтология|egyptology
египтянин|egyptian
его|its;p)hisits;p)himhe
егор|egor
егорова|egorova
еда из китайского ресторана|chinese takeout
еда|meal;food
едва ли|hardly
едва скрываемый угроза|thinly veiled threat
едва|hardly
единица стоимости|wunit of value
единица|unit
единичный хозяйство|individual farm
единичный|single;individual
единоборство|single combat
единоверец|coreligionist
единовластный|autocratic
единовременный вознаграждение|lump sum remuneration
единовременный премия|lump sum bonus
единовременный|lump
единогласие|unanimity
единогласно|unanimously
единогласный|autocratic
единодушие|unanimity
единодушно|unanimously
единодушный согласие|unanimous agreement
единодушный|unanimous;consentient
единокровный|consanguineous
единоличник|individual
единолично|personally
единоличный|individual
единообразие|uniformity
единообразный|uniform
единорог|unicorn
единственный версия|single version
единственный владелец|sole owner
единственный компенсация за|exclusiveremedyfor
единственный линия|single line
единственный оставшийся в живых|sole survivor
единственный препятствие|only challenge
единственный причина|sole reason
единственный режим|single mode
единственный уровень|single level
единственный цель|single purpose
единственный|single;unique;only
единство|unity
единый курс|flat rate
единый номенклатура|uniform nomenclature
единый ставка|uniform rate
единый стандарт|abc-standard
единый таможенный код|uniform custom
единый тариф|uniform tariff
единый цена|flat price
единый шина|monobus
единый|united;uniform
едкий натр|caustic soda;sodium hydroxide
едкий|acerbic;caustic
едкость|causticity
едок|eater
ее|itsit;her;p)hershe
еж|hedgehog
ежевика|blackberry
ежевичный|blackberry
ежегодник|yearbook
ежегодно|annually
ежегодный|annual
ежедневно|daily
ежедневный мероприятие|daily rounds
ежедневный|daily
ежеквартально|quarterly
ежемесячник|monthly
ежемесячно|monthly
ежемесячный|monthly
ежеминутно|momently
еженедельник|weekly
еженедельно|weekly
еженедельный|weekly
еженощно|nightly
еженощный|nightly
ежечасно|hourly
ежечасный|hourly
ежик|crew cut
ездить на велосипеде|wride the bycicle
ездить на лошади|wride the horse
ездить|go;drive
ездка|trip;run
езернет|ethernet
ей|hershe
екатерина|ekaterina
екатеринбург|ekaterinburg
екзел|eczel
екко|ekko
ексим|exim
ел|ate
елейный|unctuous
елена|elaina
елка , украшенная искусственным снегом|flocked christmas tree
елка|fir tree
елкхарт|elkhart
елленс|ellens
елн|eln
еловый|fur
елочка|herringbone
елочный гирлянда|christmas tree lights
елочный украшение|christmas tree ornament
ель|spruce
ем|vam eating
емг|emg
емкий|capacious
емкостной|capacitive
емкостный|capacitive
емкость|capacity
еммос|emmaus
емс|ems
ему|himhe
енот|racoon
енотовый|racoon
енсинитас|encinitas
енсино|encino
енуф|enuf
епархия архиепископа|archdiocese
епархия|diocese
епископ|bishop
епископальный|episcopalian
епископский|episcopal;pontiffical
епсон|epson
ерайнйес|erinyes
ересь|heresy
еретик|heretic
еретический|heretical
ерин|erin
ермолка|skullcap
ерошить|ruffle
ерр|err
ерричтунгс|errichtungs
ерш|ruff
еск|esc
если вообще|if at all
если есть в наличии|if any
если же|but if
если не предусмотрено|wunlessprovidrd
если не указано особо|unless otherwise stated
если не|unless
если невозможно|if unable
если ни один|unless either
если ни одна|unless either
если ни одно|unless either
если нужна дополнительная информация|for more details
если при|if
если удачно , то|if successful,
если учесть все обстоятельства|all things considered
если|if
естественно|naturally
естественный отбор|natural selection
естественный|natural
есть три раза в день|weat three meals a day
есть|be;eat
ефрата|ephrata
ехать автобусом|wgo by bus
ехать в|wgoto
ехать во|wgoto
ехать на попутке|hitchhike
ехать поездом|wgo by train
ехать|go;ride;drive
ехидна|echidna;viper;spiny anteater
ехидный|vitrolic
ечлин|echlin
еще в|as far back as
еще дальше|further out
еще лучше|still better
еще не|not yet
еще один|one more
еще одна|one more
еще одним|one more
еще одно|one more
еще одного|one more
еще одном|one more
еще одному|one more
еще раз|once again
еще|else
ею|hershe
жаба|toad
жабры|gills
жаворонок|lark
жадно|greedily
жадность|greed
жадный|greedy
жажда|thirst
жаждать|thirst
жаждущий|thirsty;eager for
жалеть|feel sorry
жалить|sting
жалкий грош|pittance
жалкий зрелище|sorry sight
жалкий|miserable
жало|stinger
жалоба|complaint
жалобный|plaintive
жалование|salary
жалованье|salary
жаловаться на|wcomplainof
жаловаться|complain
жалость|pity
жалюзи|jalousie
жандарм|gendarme
жандармерия|gendarmerie
жанейро|janeiro
жанр|genre
жанровый живопись|genre painting
жанровый|genre
жар|fervour
жара|heat
жаргон|slang
жаргонный|slang
жареный баранина|roast lamb
жареный картофель|frenchfries
жареный кофе|roasted coffee
жареный орех|roasted nuts
жареный ребро|rib roast
жареный|fried;roasted
жарить|fry;roast
жаркое|zhot;roast
жаровня|roasting pan
жарочный|roasting
жар-птица|firebird
жасмин|jasmine
жасминовый|jasmine
жатка|reaper
жать|reap
жаться|huddle
жвачка|cud
жвачный животное|ruminant
жвачный|ruminant
жгучий|burning
ждать|wait
ждущий|waiting
жевание|chewing
жевательный резинка|chewing gum
жевательный|chewing
жевать|chew
жезл|truncheon
желаемый|desired
желание|desire;wish
желательно|advisable;desirably
желательность|desirability
желательный результат|desired effect
желательный|desirable
желатин|gelatine
желатиновый|gelatinous
желать|want
желающий|desirous
желе|njelly
железа внутренней секреции|ductless gland
железа|ferric;gland
железистый|ferrous;glandular
железка|glandule
железнодорожник|railwayman
железнодорожный билет второго класса|second class train ticket
железнодорожный билет первого класса|first class train ticket
железнодорожный билет третьего класса|third class train ticket
железнодорожный билет|train ticket
железнодорожный ветка|branch line
железнодорожный перевозка|rail transportation
железнодорожный платформа|flat-car
железнодорожный путь|railroad track
железнодорожный сообщение|train service
железнодорожный транспорт|rail-freight traffic
железнодорожный трасса|railroad bed
железнодорожный|railway
железный дорога|railway
железный купорос|ferrous sulfate
железный|iron
железо|iron
железобетон|reinforced concrete
желоб|chute
желобок|coulisse
желтоватый|yellowish
желток|yolk
желтоклювый утка|yellowbill duck
желтофиоль|wallflower
желтуха|jaundice
желтый лихорадка|yellow fever
желтый|yellow
желудок|belly;stomach
желудочек|ventricle
желудочно-кишечный|gastrointestinal
желудочный зонд|stomach pump
желудочный сок|gastric juice
желудочный|gastric
желудь|acorn
желчность|acrimony
желчный камень|gallstone
желчный пузырь|gall bladder
желчный|bilious;splenetic;gall
желчь|bile;gall
жемчуг|pearl
жемчужно-белый|pearl white
жемчужный серьга|pearl earrings
жемчужный|pearl
жена|wife
женатый|married
женева|geneva
женитьба|marriage
жених|bridegroom;fiance
женоненавистник|misogynist;woman-hater
женоподобный|effeminate
женский монастырь|nunnery
женский|feminine
женственность|femininity
женственный|ladylike;womanly
женщина легкого поведения|hussy
женщина|woman
женщина-администратор|administratrix
женщина-полицейский|policewoman
женщины|women (woman)
женьшень|ginseng
женя|jenya
жеребенок|foal
жеребец|stallion
жеребец-производитель|stud horse
жеребиться|foal
жерло|muzzle
жернов|millstone
жертва обмана|dupe
жертва|victim;casualty;prey
жертвенный|sacrificial
жертвовать|donate;sacrifice
жест|gesture
жестикулировать|gesticulate
жестикуляция|gesticulation
жесткий вода|hard water
жесткий дисциплина|exact discipline
жесткий конкуренция|tough rivals
жесткий конфигурация|lockstep
жесткий линия|hard line
жесткий правило|hard and fast rule
жесткий|hard;tough;rigid;harsh
жесткость|acerbity
жестокий необходимость|dire necessity
жестокий холод|freezing cold
жестокий|cruel;unkind;savage
жестоко|cruelly
жестокосердный|hardhearted
жестокость|cruelty
жесть|tin plate
жестяной|tin-plate
жестянщик|tinsmith
жечь|burn
живность|living things;poultry
живо|vividly
живодер|hustler
живой воображение|vivid imanigation
живой воспоминание|vivid memories
живой изгородь|hedge
живой опыт|hands-on experience
живой портрет|spitting image
живой существо|living being
живой|alive;vivid;living;brisk
живокость|delphinium;larkspur
живописец|painter
живописный|picturesque
живопись|painting
живородящий|viviparous
живость|briskness
живот|belly
животворный|invigorating
животик|tummy
животноводство|stock-breeding
животное , питающийся падалью|scavenger
животное|animal
животный|bestial
животрепещущий|vital
живучесть|vitality
живучий|robust
жидкий|fluid
жидкокристаллический|liquid-cristal
жидкостный|liquid
жидкость|liquid
жижа|mess
жизнедеятельность|vital activity
жизнедеятельный|active
жизненно|vitally
жизненность|vitality
жизненный уровень|living standard
жизненный|life
жизнерадостность|buoyancy
жизнерадостный|cheerful
жизнеспособность|viability
жизнеспособный|viable
жизнь|life
жила|vein
жилет|waistcoat
жилетка|vest
жилетт|gillette
жилец|occupant
жилистый|wiry
жилищно-строительный|building
жилищный вопрос|housing problem
жилищный условие|housing conditions
жилищный|housing
жилой дом|dwelling
жилой здание|apartment building
жилой квартал|uptown
жилой площадь|floorspace
жилой|dwelling
жилье|home;dwelling
жимолость|honeysuckle
жир|fat;grease
жирандоль|girandole
жирант|endorser
жирар|girard
жирардо|girardeau
жираф|giraffe
жирный шрифт|bold
жирный|fat
жировой|fatty
жирорасчеты|giro
житейский|worldly
житель пригорода|suburbanite
житель|inhabitant
жить в одной квартире|wshare an appartment
жить полной жизнью|wlive a full life
жить|live
жмуриться|squint
жмурки|blindman's bluff
жокей|jockey
жолиет|joliet
жонглер|juggler
жонглировать|juggle
жонкиль|jonquil
жужжание|hum;feep;whirr
жужжать|hum
жуир|bon vivant
жук|bug
жулик|crook
жуликоватый|roguish
жульничать|cheat
жульнический|underhand
жульничество|cheeting
журавлиный нога|spindlelegs
журавлиный|crane
журавль|crane
журнал изменений|after-look journal
журнал кассовых операций|cashbook
журнал|journal;magazine;log-book
журналист|journalist;pressman;newsman
журналистика|journalism
журнальный тип|magazine-style
журчать|purl
жуткий|horrible
жутко|horribly
жуть|horror
жучок|beetle
жюри|njury
за ~ счет|wto~account
за акцию|per share
за беспокойство|for troubling you
за бесценок|for next to nothing;for a song
за ваш счет|at your expense
за вычетом налога|after tax
за годы|for years
за границей|abroad
за день|per diem
за дополнительную плату|at extra cost
за доступную цену|at an affordable price
за единицу|per unit
за задержку|wfor thedelay
за и от имени|for and behalf of
за и против|pro and contra
за исключением случаев|with the exclusion of
за исключением того , что|except in so far as
за исключением|with the exclusion of
за кормой|astern
за кулисами|backstage
за наличные|for cash
за наличный расчет|cash down
за неимением|in default of
за некоторым исключением|with a few exceptions
за несколько минут|in a matter of minutes
за несколько секунд|in a matter of seconds
за обедом|at dinner
за один раз|at a time
за отдельную плату|for a fee
за подписью|signed
за подписями|signed
за полцены|at half-price
за последнее время|lately
за последние годы|in recent years
за пределами|outside the
за прошлые две недели|in the past two weeks
за рубежом|overseas
за свой счет|at its expense
за столом|at the table
за сутки|overnight
за счет|at the expense of
за то , что|sthat
за то что|sthat
за углом|round the corner
за умеренную плату|at a moderate charge
за цент|per cent
за штуку|apiece
за|for;behind
заарканить|lasso
забавлять|amuse;r)have fun
забавно|drolly
забавный штука|fun stuff
забавный|amusing;fun
забаллотировать|blackball;vote down
забастовка|strike
забастовщик|striker
забвение|oblivion
забивать гвоздь|hammer a nail
забивать мяч|spike the ball
забивать|ram
забирать|withdrew
забитый|downtrodden
заблаговременно|beforehand
заблаговременность|earliness
заблаговременный|prior
заблокированный|disarmed
заблудший|wayward
заблуждающийся|aberrant
заблуждение|error
заболевание сердца|heart disease
заболевание|disease
заболевать|fall ill
заболонь|alburnum;sapwood
забота|care
заботиться о будущем|wbe concerned about the future
заботиться о себе|wfend for yourself
заботиться о|wtake careof
заботиться об|wtake careof
заботиться|take care;look after
заботливый|careful
забрасываемый вес|throw-weight
забрасывание грязью|mud slinging
забрасывать камнями|wpelt with stones
забрасывать|pelt
забредать в|wdrop inat
забредать во|wdrop inat
забредать|wander
заброшенный|abandoned;desolate
забрызгивать|spatter
забывать|forget
забывчивость|forgetfulness
забывчивый|forgetful;swamped
заваленный снегом|snowbound
заваленный|bound
заваливать снегом|snow
заваливать|cover
заварной крем|custard
заведовать|manage;be in charge of
заведомо|undoubtedly
заведомый|undoubted
заведующий|managingmanager
заверенный копия|attested copy
заверенный|notorized;certified
завернутый|enfolded
завертывать|wrap
завершать работу по графику|wmeet a schedule
завершать работы по графику|wmeet a schedule
завершать|terminate;complete
завершающий|completingcompletive
завершение работы|close-down
завершение|termination
завершенность|maturity
завершенный|completed
заверять в|winsureof
заверять|notarize
заверяющий|notarizing
завет|precept
завешивать|cover
завещаемый|bequeathed
завещание|testament
завещанный|bequeathing
завещатель|testator
завещательница|testatrix
завещать|bequeath
завидный|enviable
завидовать|envy
завинчивать|screw
зависание|starvation
зависать|hang
зависеть от|wdependon
зависеть|depend
зависимость|dependency
зависимый от диктора|speaker-dependent
зависимый от компонентов|component-dependent
зависимый событие|dependent event
зависимый спрос|dependent demand
зависимый|dependent
завистливый|envious
зависть|envy
зависящий от диктора|speaker dependent
зависящий от применения|aplication dependent
зависящий от устройства|device-specific
зависящий от|wdependenton
зависящий|dependent
завитушка|curlicue
завлекать|tempt
завод - изготовитель|manufacturer
завод - поставщик|supplying factory
завод - смежник|subcontractory factory
завод|plant
заводить|wind
заводской испытание|production test
заводской номер|serial number
заводской паспорт|factory certificate
заводской сборка|factory assembly
заводской упаковка|original packaging
заводской|factory
заводь|inlet
завоевание|conquest
завоеванный|achieved
завоеватель|conqueror
завоевывать доверие|wgain confidence
завоевывать признание|wwin recognition
завоевывать|conquer
заволакивать|becloud
заворачивать|fold
завсегдатай|habitue
завтра вечером|tomorrow afternoon
завтра ночью|tomorrow night
завтра утром|tomorrow morning
завтра|tomorrow
завтрак|morning meal;luncheon(официальный)
завтракать|lunch
завышать|uprate
завышенный|value-added
завязывать узлом|knot
завязывать|tie
загадка|riddle
загадочный|enigmatic
загар|tan
загашенный|extinguished
загвоздка|sticking point
заглавие|title
заглавный буква|caps
заглавный роль|title roll
заглавный|title
заглавными буквами|caps
загладит|заглаживать
загладить|заглаживать
заглаживать|soften
заглазно|sight unseen
заглушать|silence
заглушка|stub
заглядывать|peek
заговор|cabal
заголовок|headline;caption
загон|roundup
загонять в|wpenin
загонять во|wpenin
загонять|impound
загораживать|barrier
загорать|tan
загораться|fire
загорелый|tanned
загородный доставка|rfd
загородный|country;out-of-town
загоститься|overstay
заготавливать|store up
заготовка|stocking up
заготовленный|prefabricated
заградитель|minelayer
заграждение|barrier;roadblock
заграничный|foreign
загребать деньги лопатой|wrake in the money
загребать|rake up
загривок|scruff
загробный жизнь|afterlife
загромождать|clutter up
загружаемый|downloaded;loadable
загружать|load;boot;store
загруженный|loaded
загрузка неиспользуемых производственных мощностей|wabsorption of idle capacities
загрузка|loading;comp)boot;store
загрузочный|load
загрузчик|loader
загрязнение нефтью|oil-pollution
загрязнение образцов|sample contamination
загрязнение|contamination;g)soiling
загрязненный нефтью|oil-polluted
загрязненный|polluted
загрязнять|pollute
загрязняющий вещество|contaminant;pollutant
загрязняющий|polluting
загустевший нефть|oilcake
загустевший|thicken
зад|back;backside;arse;posterior;duff
задавала|high-hat
задавать жару|wrake over the coals
задавать темп|wset the pace
задавать|assign
задание размеров|dimensioning
задание|task;job
заданный|given
задаток|deposit;down payment
задача , стоящая перед нами|wproblem that faces us
задача на квартал|quarterly goal
задача|problem;comp)task
задающий|prescribing
задевать интерес|affect interests
задевать|brush against
задействовать|use
заделка|sealing-off
заделывать|seal
задержание|detention
задерживать|delay;detain
задерживаться|detain;linger
задерживающий элемент|delayer
задержка в разгрузке|wdelay in discharge
задержка в|wdelayin
задержка вызова|camp-on
задержка подтверждения|round-trip delay
задержка транзита|wdelay in transit
задержка|delay
задир|burrage
задира|bully
задний обзор|rear-view
задний огонь|taillight
задний панель|backboard
задний плоскость|far plane
задний проход|anus
задний сторона|rear
задний|back;rear
задолго до|long before
задолжавший|indebted
задолженность|indebtedness
задолженость по счету|arrears
задорный|sprightly
задраивать|batten;batten down
задувать|blowout
задумчивость|pensiveness
задумчивый|pensive
задумывать план|wconceive a plan
задумывать|conceive
задыхаться от|wchokewith
задыхаться|choke;suffocate
заедание|sticking
заем|borrow;loan
заемщик|borrower
зажаренный|barbecue
зажженный|alight
заживать|heal
заживающий|healed
заживление|healing
заживляющий|healing
зажигалка|cigarette-lighter;lighter
зажигание|ignition;g)lighting
зажигательный бомба|fire bomb
зажигательный|incendiary
зажигать|light;ignite
зажим|grip
зажимать|jam
заземление|earth;ground connection
заземленный|grounded
заземлять|ground
зазор|clearance
зазубренный|rote
зазубривать|notch;learn mechanically
заикание|stutter
заикаться|stammer
заимствование|borrowing
заимствованный|unoriginal
заимствовать|plagerize
заинтересованность|interest
заинтересованный сторона|concerned party
заинтересованный|interested
заинтригованный|intrigued
заискивать перед|wingratiatewith
заискивать|ingratiate
займ|loan
зайчик|bunny
закадычный|bosom
заказ - наряд|order
заказ - почтой|mail order
заказ по образцу|sample order
заказ по почте|mail order
заказ|order
заказной письмо|registered letter
заказной|custom-tailored
заказчик|customer;client
заказывать билет на|wbook a seaton
заказывать телефонный разговор|wplace a call
заказывать|book;order
закаленный в бою|battle-hardened
закаленный|hardened
закалять|toughen;harden
закамуфлировать|camouflage
заканчивать недоделанную работу|wclear off
заканчивать решение|wdo with the solution
заканчивать|finish;r)end;terminate
закат|sundown
закваска|leaven
заквашивать|leaven
закидывать мяч|wdunk the ball
закидывать|scatter
закипать|simmer
закись азота|nitrous oxide
закись железа|ferrous oxide
закись|protoxide
заклад|pawn;g)pawning
закладка|bookmark
закладная|zfixedmortage;bond
закладной|zfixedmortage
закладывать|pawn;mortgage
заклеивать|stick
заклепка|rivet
заклинание|incantation
заклинатель змей|snake charmer
заклинатель|charmer
заклинать|charm
заклинивать|wedge
заключать в скобки|bracket
заключать в тюрьму|imprison
заключать договор|wenter into agreement
заключать сделку|wmake a deal
заключать соглашение|conclude anagreement
заключать|conclude;inclose;contain
заключение в скобки|bracketing
заключение договора|wcont)conclusion of agreement
заключение контракта|wcont)conclusion of agreement
заключение контрактов|wcont)conclusion of agreements
заключение|conclusion
заключительный заявление|final point
заключительный комплексный испытание|network drill
заключительный молитва|benediction
заключительный обработка|postprocessing
заключительный слово|closing speech
заключительный часть|postlude
заключительный|final;closing
заклятый враг|archenemy;sworn enemy
заковывать|shackle
закодированный|encoded
заколачивать|hammer
заколка|pin
закольцовывание цепи|busback
закон накопления опыта|wlaw of experience
закон о вторжении в личную жизнь|privacy act
закон об авторском праве|copyright law
закон|law;jurisdictions
законно установленный власть|lawfully constituted authority
законно|lawfully
законность|legality
законный власть|constituted authority
законный суд|wcourt of law
законный|legal
законным порядком|legally
законодатель|lawmaker;regulator
законодательный|legislative
законодательство об авторском праве|copyright laws
законодательство|legislation
закономерность|regularity
законопроект|bill
законченность|completeness
законченный|finishedcomplete
закоптелый|sooty
закопченый|smokey
закоренелый преступник|hardened criminal
закоренелый|hard-core
закоулок|cranny;nook
закрашенный|painted
закрашивание|painting
закрашивать|paint
закрепитель|foto)fixing agent
закрепление|fastening;foto)fixing
закреплять|bolt;foto)fix
закрепощать|enslave
закрепощение|enslavement
закругление|curve;g)curving
закругленный|roundedgibbous
закруглять|roundДoff
закручивать|twist
закрывание|closing
закрывать|close;shut
закрывающий кавычка|backspark
закрывающий многоугольник|hider
закрытие|closing
закрытого типа|&close
закрытые данные|private data
закрытый зимний бассейн|covered indoor pool
закрытый переговор|private negotiations
закрытый рынок|locked market
закрытый скидка|closed discounts
закрытый|locked;closed;adjourned
закулисный|backstage;underhand;offstage
закупать|buy
закупка|bulk purchase;g)buying
закупоренный|occluded
закупоривать|occlude;cork
закупоривающий|occluding
закупорка артерий|coronary thrombosis
закупорка|occlusion
закупочный|procurement
закупщик|buyer
закуска|snack;hors d'oeuvre
закусочная|diner;food shop
закутывать|enfold;muffle
зал ожидания|departure lounge;waiting room
зал суда|courtroom
зал|common-room
залегать в спячку|hibernate
залегать|lie
залежалый|unsold
залив аляска|gulf of alaska
залив сан-франциско|san francisco bay
залив тонкин|gulf of tonkin
залив|bay;gulf
заливать|flood;suffuse
заливка|potting
заливное|aspic
заливной|flood
залог|guarantee
залоговый стоимость|hypothecation value
залоговый|pawn
залогодержатель|pawnbroker
заложенный|mortgaged;pledged
заложник|hostage
залп|volley;salvo;fusillade
залпом|at one gulp
зам|deputy
замазка|putty
замазывать|putty
замалчивать факты|wside-step facts
замалчивать|cushion
заманивание|enticing
заманивать|allure
заманчивый|tempting
замаскированный|disguised;masked
замачивать|soak
замедление|deceleration;slowing-down
замедленного действия|&delayed-action
замедленный съемка|slow motion
замедленный|deceleratedslow
замедлять|slow;delay
замедляющий|decelerating
замена|change;substitution;replacement;overtype
замененный|replaced
заменимый|replaceable
заменитель|substitute
заменять|change;replace;substitute
заменяющий|replacing
замерзание|congelation
замерзать|freeze
заместитель директора|deputy director
заместитель министра|undersecretary
заместитель мэра|deputy mayor
заместитель председателя|vice-chairman
заместитель шерифа|deputy sherrif
заместитель|deputy;vice
заметание|sweep representation
заметка|mark;note
заметно|noticeably
заметный|observable;noticeable
замечание по эксплуатации|service mark notices
замечание|remark;observation
замечательно|splendid
замечательный|remarkable;wonderful
замечать|notice
замешанный|mixed up
замешательство|confusion
замещать|substitute;replace
заминать|burke;hush up
замкнутость|lock-in
замкнутый|closed
замогильный|sepulcher
замок с кодом|combination lock
замок|lock;castle
замолкать|fall silent
замораживание|freeze
замораживать|freeze
замороженный еда|frozen dinner
замороженный кредит|frozen credit
замороженный счет|frozen account
замороженный|frozen
заморский|overseas
заморыш|starveling
замужний|married
замученный|fagged out
замша|chamois;suede;doeskin
замшевый|suede
замыкание|closing
замысловатый|elaborated;recondite
замятие|jam
занавес|curtain
занесение на счет|paying into an account
занесение|charting;filing;comp)typing
занесло|carried away
занзибар|zanzibar
занижать|understate;undercut(цены)
занижение ставки|underrating
занижение цены|undercharge
занижение|understatement;g)undercutting(цены)
заниженный цена|undercharge
заниженный|lowered
занимать выжидательную позицию|wtake up a waiting attitude
занимать годы|wtake years
занимать до|wtake upto
занимать обычно|used to take
занимать позицию|wadopt the attitude
занимать пост|wfill a position
занимать|occupy(место);hold(должность);borrow(брать взаймы)
заниматься бизнесом|wdo business
заниматься поверхностно|dabble
заниматься проблемами|wtake up a problem
заниматься проблемой|wtake up a problem
заниматься серфингом|serf
заниматься фермерством|farm
заниматься|concernwith;go in for;engage in
занимающий большинство времени|most time consuming
занимающий все время|full-time
заново|anew
заноза|splinter
занос|snowdrift
заносить в протокол|wtake down in the minutes
заносить|bring;enter(записывать)
зануда|bore
занудный|boring
занятие|occupation
занятость|employment
занятый неполную неделю|&half-back-time
занятый|occupied;employed;busy
заостренный|spicate
заострять|sharpen
заостряться|taper
заочно|in absentia
запад|west
западный германия|west germany
западный сахара|western sahara
западный|west
западня|pitfall
запаздывать|lag;be late
запаздывающий|overdue
запаивать наглухо|wseal off
запаивать|seal
запал|heaves
запараллеливание|paralleling
запас|spare;reserve;supply;stock;fund
запасать|accumulate;store up
запасаться на всякий случай|wreserve for emergencies
запасаться|store;stock up
запасной выход|emergency door
запасной источник питания|emergency main
запасной путь|siding
запасной часть|spare part
запасной|spare
запасный выход|emergency exit
