абажур|lampshade, shade
звон|ping, ringing, singing
звонить|buzz, call, phone, ring, telephone, toll
звонок|bell, bell push, doorbell, ringing
звонящий|caller
звук|sound
звуковой|sonic
звукоизолировать|soundproof
звукорежиссёр|sound engineer
звукосниматель|pick-up
звучный|resonant, resounding, vocal
звяканье|chink
здание|building
здесь|here, in
здоровенный|hefty, hulking
здорово|brill, soundly
здоровый|healthy, hearty, sound, wholesome
здоровье|health
здравоохранение|health care
здравствуйте|hello
здравый|tenable
зебра|zebra
зевать|yawn
зеленоватый|greenish
зеленщик|greengrocer
зелёные|green
зелёный|leafy
зелень|greenery, herb
зелье|potion
землевладелец|landowner
землеройка|shrew
землетрясение|earthquake
земля|earth, ground, land
земляника|strawberry
земноводный|amphibious
земной|earthly, worldly
зенит|zenith
зенковать|countersink
зеркало|mirror
зерно|grain
зерновые|cereal
зернохранилище|granary
зёрнышко|pip
зигзагообразный|forked
зима|winter
Зимбабве|Zimbabwe
зимний|wintry
зимой|winter
зимородок|kingfisher
зиять|gape
зияющий|gaping, yawning
зло|evil, ill, mischief
злоба|malevolence, malice, rancour, venom, viciousness
злобно|nastily
злобность|nastiness
злобный|malevolent, mean, mischievous, nasty, spiteful, unkind, venomous, vitriolic
зловещий|baleful, ominous, sinister
зловонный|rank
злодей|fiend, villain
злодеяние|malevolence
злой|evil, peeved, unkind, vicious
злокачественный|malignant
злоключение|misadventure
злоключения|tribulations
злонамеренный|malicious
злополучный|ill-fated
злорадствовать|gloat
злословие|backbiting
злостный|malignant
злоупотребление|misuse
злоупотреблять|abuse, misuse
змея|shrew, snake
знак|ampersand, indication, mark, marker, sign, symbol, token
знаки|insignia
знакомство|acquaintance, introduction
знакомый|acquaintance, familiar
знаменатель|denominator
знаменитость|celebrity, eminence, personality
знаменитый|celebrated, eminent, famous, great, proverbial
знамя|standard
знание|familiarity, knowledge
знания|expertise, knowledge
знаток|buff, connoisseur
знать|know, nobility
знахарь|faith healer, witch doctor
значение|emphasis, meaning, significance, status, value
значительно|significantly, substantially, widely
значительный|appreciable, consequence, considerable, fair, inconsiderable, meaningful, significant
значок|badge
знающий|knowledgeable, well-informed
знойный|torrid
зодиак|zodiac
зола|cinders
золовка|sister-in-law
золотистый|golden
золотить|gild
золото|gold
золотой|gold, golden
Золушка|Cinderella
зомби|zombie
зона|zone
зонд|probe
зонт|brolly
зонтик|parasol, sunshade
зоолог|zoologist
зоологический|zoological
зоология|zoology
зоопарк|zoo
зоркий|sharp-eyed
зрачок|pupil
зрелище|spectacle
зрелость|manhood, ripeness
зрелый|mature, nubile
зрение|eyesight, sight, vision
зреть|mature
зритель|onlooker, spectator
зрительный|visual
зрячий|sighted
зуб|tooth
зубец|prong, tooth
зубной|dental
зубочистка|toothpick
зубрёжка|cramming
зубрила|swot
зубчатый|jagged
зудящий|itchy
зулус|Zulu
зыбь|ripple
зычный|fruity
зяблик|chaffinch
зябнуть|chilly
зять|brother-in-law
и|and
ива|willow
ивняк|willow
иврит|Hebrew
игла|quill
игнорировать|ignore
игольник|pincushion
игра|game, mixed doubles
играть|enact, play
игривый|arch, frisky, playful
игристый|sparkling
игрок|gambler, player, punter
игрушка|plaything, toy
идеалист|idealist
идеально|ideally
идеальный|ideal
идеологический|ideological
идеология|ideology
идея|idea, message
идиллический|idyllic
идиома|idiom
идиоматичный|idiomatic
идиот|idiot, prat
идиотизм|idiocy
идиотский|idiotic
идиш|Yiddish
идол|idol
идти|go, suit, visit
иерархия|hierarchy
иероглифический|hieroglyphic
иероглифы|hieroglyphics
Иерусалим|Jerusalem
иждивeнец|dependant
из|from, of, out
избавление|deliverance
избавлять|deliver
избавляться|rid
избалованный|spoilt
избегание|escape
избегать|avoid, evade, shun, shy
избиратели|electorate
избиратель|elector
избирательница|constituent
избирательный округ|constituency
избирательный|electoral, selective
избирать|opt
избитый|hackneyed, trite
избрание|election
избранный|select
избыток|excess
извергать|belch
извергаться|spout
извержение|eruption
известие|news
известный|known, noted, notorious, well-known
известняк|lime, limestone
известь|lime
извещение|advice note, announcement
извиваться|meander, slither, writhe
извивающийся|sinuous
извилистый|tortuous, wandering, winding
извинение|apology
извиняться|apologize
извиняющийся|apologetic
извлекать|elicit, withdraw
извлечение|extraction
изводить|harass, harry
изворачиваться|prevaricate
извращенец|pervert
извращение|perversion
извращённый|twisted
изгиб|bend, sweep, twist
изгибать|twist
изгнание|expulsion
изгой|outcast
изгонять|exorcize, expel, oust
изготовление|making
изготовлять|make
издавать|emit, exude, issue, publish
издалека|afar, afield
издание|edition
издатель|publisher
издательство|publisher, publishing company
издевательский|mocking
издевательство|mockery
изделие|product
издёрганный|ratty
издержки|distribution cost
изжога|heartburn
излагать|couch, enunciate, expound, represent
излечивать|heal
излечимый|curable
излишество|extra
излишне|unduly, unnecessarily
излишний|needless, redundant, undue, unnecessary, waste
излияние|outpouring
изложение|exposition, presentation
излучать|emit
излучение|emission, radiation
излучина|bend
изматывать|exasperate
изматывающий|punishing
измена|treason
изменение|alteration, revision, variation
изменчивый|mercurial, variable, volatile
изменять|rearrange, redraw, reshape, reverse, revise
изменяться|alter
измерение|measurement
измеримый|measurable, quantifiable
измерять|gauge
измождённый|gaunt, haggard, run-down
измотанный|exasperate, worn-out
измученный|drawn
изнанка|inside, wrong side
изнасилование|rape
изначальный|primal
изнашивать|wear
изнеможение|exhaustion
износ|wear, wear and tear
изношенность|wear
изношенный|worn-out
изнурённый|harassed, wan
изнурительный|debilitating, exhausting
изнурять|exhaust
изобара|isobar
изобилие|abundance
изобиловать|abound, rife
изобильный|abundant
изобличать|incriminate
изобличающий|incriminating
изобличительный|damning
изображать|depict, impersonate, paint, portray, simulate
изображение|impersonation, picture, portrayal, representation
изобразительный|graphic
изобретатель|inventor
изобретательность|ingenuity, inventiveness, resourcefulness
изобретательный|ingenious, inventive, resourceful
изобретать|invent
изобретение|invention
изолированный|isolated
изолировать|insulate, isolate
изолятор|insulator, sickbay
изоляционизм|isolationism
изоляция|insulation, isolation
изорванный|tattered
изотоп|isotope
изощрённость|sophistication
изощрённый|sophisticated
Израиль|Israel
израильтянин|Israeli
израсходованный|spent
изрешечённый|riddle
изрытый|pitted
изрядный|generous, hefty
изумительный|bewildering, stupendous
изумление|amazement
изумлённый|bewildered, flabbergasted
изумлять|stupefy
изумруд|emerald
изучать|explore
изучение|examination, exploration
изъеденный|moth-eaten, pitted
изъян|imperfection
изъятие|suspension
изымать|repossess
изысканная|sophisticated
изысканно|exquisitely
изысканность|sophistication
изысканный|exquisite, polished
изюм|currant, raisin
изюминка|punch line, raisin
изящество|finesse
изящный|dainty, graceful, lissom(e)
Иисус|Jesus
икать|hiccup
икона|icon
икота|hiccups
икра|caviar(e), roe, spawn
ил|silt
или|or
илистый|slimy
иллюзия|illusion
иллюминатор|porthole
иллюминация|illumination
иллюстратор|illustrator
иллюстрация|illustration
иллюстрирование|illustration
иллюстрированный|pictorial
иллюстрировать|illustrate
им|them
имбирь|ginger
иметь|have
имидж|image, street cred
имитатор|impressionist
имитация|imitation, impression, mimicry
имитированный|simulated
имитировать|imitate, mimic
иммигрант|immigrant
иммиграция|immigration
иммунитет|immunity
император|emperor
императрица|empress
империализм|imperialism
империя|empire
имперский|imperial
имперфект|imperfect
импорт|importation
импортёр|importer
импортный|imported
импотентный|impotent
импотенция|impotence
импресарио|impresario
импрессионист|impressionist
импровизация|improvisation
импровизированный|impromptu, off-the-cuff
импровизировать|extemporize, improvise
импульс|impulse, momentum
импульсивный|impulsive
имущие|haves
имя|first name, forename, name
инакомыслие|dissent
инакомыслящий|dissenter
инвалид|amputee
инвалидность|disability
инвалиды|disabled
инвентаризация|stocktaking
инвестирование|investment
ингалятор|inhaler
ингредиент|ingredient
индеец|Indian
индейка|turkey
индейское|Indian Summer
индивидуалист|individualist, maverick
индивидуальность|individuality
индивидуальный|one-man
индиго|indigo
индиец|Indian
Индокитай|Indo-China
индонезиец|Indonesian
Индонезия|Indonesia
индоссамент|endorsement
индоссант|endorser
индоссат|endorsee
индусский|Hindu
индустриализировать|industrialize
индустрия|industry
иней|frost, hoarfrost
инертность|inertia
инертный|inert
инерция|impetus, inertia
инженер|engineer
инжир|fig
инициализировать|initialize
инициалы|initial
инициативность|initiative
инициатор|mover
инкарнация|incarnation
инкассировать|encash
Инквизиция|inquisition
инки|Inca
инкогнито|incognito
инкрустированный|inlaid
инкубатор|incubator
иногда|sometimes
иностранец|alien, foreigner
иностранный|foreign, overseas
инсайдер|insider
инсектицид|insecticide
инсинуация|innuendo, insinuation
инспектор|inspector, surveyor
инспекция|survey
инстинкт|instinct
инстинктивно|instinct, instinctively
инстинктивный|instinctive
институт|institute, institution
инструктаж|briefing
инструктор|instructor
инструкция|direction, instruction
инструмент|instrument, tool, utensil
инструменталист|instrumentalist
инструментальный|instrumental
инструменты|woodwind
инсулин|insulin
интеграл|integral
интеграция|integration, rehabilitation
интегрировать|rehabilitate
интеллект|intellect
интеллектуал|intellectual
интеллектуальный|academic, highbrow
интеллигенция|intelligentsia
интенсивность|intensity
интенсивный|intense, intensive
интервал|gap, interval, space-bar
интервалы|spacing
интервью|interview
интервьюер|interviewer
интервьюируемый|interviewee
интерес|interest
интересный|handsome, interesting
интересовать|interest
интересоваться|interested
интернирование|internment
интернированный|internee
интерпол|Interpol
интерфейс|interface
интерьер|interior
интерьера|interior designer
интимно|intimately
интимность|intimacy
интимный|intimate
интонация|cadence, intonation
интриговать|intrigue
интригующий|intriguing
интроверт|introvert
интуитивный|intuitive
интуиция|intuition
инфантильный|infantile
инфекционный|infectious
инфекция|infection
инфляционный|inflationary
инфляция|inflation
информант|informant
информатика|information science
информация|information
инфракрасный|infrared
инфраструктура|infrastructure
инцидент|incident
инъекцию|injection
ион|ion
Иордан|Jordan
иорданец|Jordanian
Иордания|Jordan
ипохондрик|hypochondriac
ипподром|racecourse
Ирак|Iraq
Иран|Iran
иранец|Iranian
ирис|iris
ирландец|Irishman
Ирландия|Ireland
ирландка|Irishwoman
ирландский|Irish
ирландцы|Irish
иронический|ironic(al)
иронично|dryly, ironically
ирония|irony
иск|action, suit
искажать|distort
искажение|corruption, distortion, misrepresentation
искажённый|skewed
искатель|searcher
искать|hunt, search, seek
исключать|exclude, expel
исключение|exclusion, expulsion
исключительно|exclusively, most
исключительный|exceptional, exclusive, sole, unique
исковерканный|warped
ископаемое|fossil
искоренять|eradicate
искоса|sideways
искра|spark
искренне|genuinely, sincerely, truly, wholeheartedly
искренний|genuine, heartfelt, sincere, wholehearted
искренность|candour, sincerity
искривление|contortion
искупать|atone, redeem
искупление|atonement
искусно|subtly
искусность|artifice, subtlety
искусный|adept, practised, subtle
искусственник|bottle-fed
искусственный|artificial, man-made
искусство|art, gastronomy
искушённый|worldly
ислам|Islam
исландец|Icelander
Исландия|Iceland
испанец|Spaniard
Испания|Spain
испанцы|Spanish
испарение|evaporation
испарения|fumes
испаряться|evaporate, vaporize
испачканный|soiled
исповедник|confessor
исповедовать|profess
исповедоваться|confess
исполнение|fulfilment, performance, rendering, rendition
исполнитель|leading man, performer, player
исполнять|fulfil, perform
использование|exploitation
использовать|tap, use
испорченный|faulty, spoilt, tainted
исправившийся|reformed
исправительный|penal
исправление|retrieval
исправлять|emend, rectify, redress, remedy, retrieve
исправляться|mend
испражняться|defecate
испуг|fright, scare
испуганный|afraid, frightened
испугаться|fright
испускать|emit
испытание|experience, ordeal, test
испытания|trial
испытанный|trusty
испытательный|probationary, testing
испытывать|tax, try
исследование|exploration, media research, research, survey
исследования|into
исследователь|explorer, investigator, researcher
исследовательский|exploratory
исследовать|explore, investigate
иссякать|peter out
истекать|expire
истерика|tantrum
истерически|hysterically
истерический|hysterical
истерия|hysteria
истец|plaintiff
истина|truth
истолковывать|construe, misinterpret
историк|historian
исторический|historic, historical
история|history, narrative, story
источать|exude
источник|fount, source, water hole
истощать|debilitate, exhaust, overtax
истощённый|depleted, emaciated
истребитель|fighter
истребление|extermination, holocaust
истреблять|exterminate
исходящий|outgoing
исчезать|disappear, peter out, vanish
исчезновение|disappearance, extinction
исчезнувший|extinct
исчёркивать|scribble
исчерпывать|exhaust
исчерпывающий|exhaustive
Италия|Italy
итальянец|Italian
итальянцы|Italian
их|their, theirs, them
ишак|dogsbody
ишиас|sciatica
ищейка|bloodhound
июль|July
июнь|June
Йемен|Yemen
йеменец|Yemeni
йена|yen
йога|yoga
йогурт|yog(h)ourt
йод|iodine
йота|iota
Йоханнесбург|Johannesburg
к|to, toward(s)
кабан|boar
кабаре|cabaret
кабачок|marrow, zucchini
кабестан|capstan
кабинет|office
Кабул|Kabul
кавалерист|trooper
кавказец|Caucasian
кавычки|inverted commas, quotation marks, quote
кадка|vat
кадр|exposure
кадры|cadre, footage
каждый|each, every, everybody
кажется|seem
казарма|barracks
казармы|quarter
казаться|appear, seem
казах|Kazakh
казахский|Kazakh
Казахстан|Kazakhstan
казино|casino
казначей|bursar, purser, treasurer
казначейство|Exchequer
казнить|execute
казнь|execution
Каир|Cairo
кайма|edging
как|how
какао|cocoa
какой|what, which
кактус|cactus
каламбур|pun
каланча|beanpole
калейдоскоп|kaleidoscope
калека|cripple
календарь|calendar
калечить|maim
калибр|calibre
калибровать|calibrate
калий|potassium
калитка|gate
Калифорния|California
калланетика|Callanetics
калория|calorie
калька|tracing paper
калькулятор|calculator
Калькутта|Calcutta
кальмар|squid
кальсоны|long johns
кальций|calcium
камбала|flounder, plaice
камбоджиец|Cambodian
каменистый|rocky, stony
каменоломня|quarry
каменщик|bricklayer, mason, stonemason
камень|jewel, stone
камера|inner tube
камердинер|valet
камертон|tuning fork
Камерун|Cameroon
камешек|rock
камикадзе|kamikaze
камин|fireplace
камнепад|rock fall
каморка|garret
Кампала|Kampala
кампучийский|Kampuchean
Кампучия|Kampuchea
камфорка|gas ring
канава|trench
Канада|Canada
канадец|Canadian
канализация|sewage
канарейка|canary
канатоходец|tightrope walker
Канберра|Canberra
кандалы|irons
кандидат|applicant, candidate, nominee
кандидатура|candidacy
каникулы|holiday, hols, recess, vacation
канистра|jerry can
канитель|rigmarole
канонизировать|canonize
кантри|countryandwestern (music)
канцелярский|office worker
канцерогенный|carcinogenic
каньон|canyon
капать|drip
капеллан|chaplain
капелька|dash, droplet
капитал|principal
капитализм|capitalism
капиталист|capitalist
капиталовложение|capital expenditure, capital investment
капиталоёмкий|capital-intensive
Капитолий|Capitol
капитулировать|capitulate
капитуляция|capitulation
капли|drop, nose drops
капля|bead, globule, mite
капор|bonnet
капот|bonnet, hood
капризный|fractious, temperamental
капсула|capsule
капуста|cabbage
капюшон|hood
кара|penance
карабканье|scramble
Каракас|Caracas
каракатица|cuttlefish
каракули|doodle, scrawl, scribble
карамель|candy, caramel
карантин|quarantine
караоке|karaoke
карат|carat
карательный|penal, punitive
каратэ|karate
караул|guard
караульный|sentry
карбюратор|carburettor
карга|crone, hag
кардамон|cardamom
кардинал|cardinal
Кардифф|Cardiff
карий|brown
карикатура|caricature
каркас|frame, framework, skeleton
карлик|midget
карман|pocket
карманный|pocket-sized
карниз|cornice, eaves, sill
карп|carp
Карпаты|Carpathian Mountains
карт|go-cart
карта|map
картель|cartel
картина|painting, picture
картограф|cartographer
картография|cartography
картон|board, cardboard
картотека|card index, file
картофелечистка|potato peeler
картофелина|potato
картофель|chip, potato
карточка|index card
картошка|potato, spud
карусель|carousel, merry-go-round, roundabout
карьер|quarry
Касабланка|Casablanca
касательная|tangent
касаться|affect
касающийся|pertaining
каска|helmet
каскадёр|stuntman
касса|cash desk, checkout
кассета|cassette, tape
кассир|cashier, teller
каста|caste
кастет|knuckleduster
кастрировать|castrate
кастрюля|pan, saucepan
катакомбы|catacombs
катализатор|catalyst
каталог|index
катание|spin
катапультироваться|eject
катар|catarrh
Катар|Qatar
катаракта|cataract
катастрофа|accident, apocalypse, catastrophe
катастрофический|catastrophic
катафалк|bier, hearse
категорический|categoric(al), peremptory
категория|bracket, category
катехизис|catechism
катиться|freewheel, trundle
катод|cathode
каток|ice rink, rink, roller, skating rink
католик|Catholic
каторжник|convict
катушка|reel, spool
кафе|cafe
кафедра|lectern, pulpit
кафель|tile
кафельный|tiled
кафетерий|cafeteria
кафтан|kaftan
качалка|rocking chair
качание|swing
качать|pump, rock, wag
качаться|rock, wave
качающийся|swinging
качели|seesaw, swing
качественный|qualitative, quality
качество|qualification, quality, texture
кашалот|sperm whale
кашемир|cashmere
кашлять|falter
Кашмир|Kashmir
каштановый|brown
каюта|berth
кающийся|penitent
каяк|kayak
каяться|repent
квадрат|square
квази|quasi-
квакер|Quaker
квалификация|credentials, qualification
квалифицированный|qualified, skilled
кварк|quark
кварта|quart
квартал|block, quarter, square
квартальный|quarterly
квартердек|quarterdeck
квартет|quartet(te)
квартира|apartment, flat, lodgings, room
квартирант|lodger
квартирмейстер|quartermaster
квартировать|quarter
квартиросъёмщик|sitting tenant
кварцевый|quartz
Квебек|Quebec
квинтет|quintet(te)
квитанция|receipt
кворум|quorum
квота|quota
КГБ|KGB
кегельбан|bowling, bowling alley
кегли|skittle, tenpin bowling
кедр|cedar
кеды|plimsolls
Кейптаун|Cape Town
кекс|biscuit, muffin, scone
Кёльн|Cologne
кельт|Celt
кем|whom
Кембридж|Cambridge
кемпинг|camp site, camping
кенгуру|kangaroo
кениец|Kenyan
Кения|Kenya
керамика|ceramics, pottery
керамический|ceramic
керосин|paraffin
кетч|wrestling
кетчуп|catsup, ketchup
киббуц|kibbutz
кибернетика|cybernetics
кивать|nod
киви|kiwi
Киев|Kiev
Килиманджаро|Kilimanjaro
кило|kilo
килобайт|kilobyte
киловатт|kilowatt
килогерц|kilohertz
килограмм|kilogram(me)
километр|kilometre
киль|keel
кильватер|wake
кимоно|kimono
кинетический|kinetic
кинжал|dagger
кинозвезда|film star
кинокамера|cine camera, movie camera
кинокартина|motion picture
киномеханик|projectionist
киноплёнка|cine film
кинопроба|screen test
кинопроектор|cine projector, projector
киностудия|film studio
киоск|kiosk
кипа|bale
кипарис|cypress
Кипр|Cyprus
киприот|Cypriot
кипятильник|water heater
кипятить|boil
киргиз|Kirghiz
Киргизия|Kirghizia
киргизский|Kirghiz
кирка|pickaxe
кирпич|brick
кисет|pouch
киска|puss, pussy(cat)
кислород|oxygen
кислота|acid
кислотность|acidity
кислотный|acid
кислый|acidic, sour
киста|cyst
кисточка|tassel
кисть|brush, grape, paintbrush
кит|whale
Китай|China
кичливый|hoity-toity
киш|quiche
кишеть|honeycomb, seethe, swarm
кишечник|bowels, intestine
кишечный|intestinal
Кишинёв|Kishinev
кишка|gut, intestine
кишмиш|sultana
клавесин|harpsichord
клавиатура|keyboard
кладбище|cemetery, graveyard
кладка|brickwork, masonry, stonework
кладовая|larder, pantry, storehouse, storeroom
кладовка|glory hole, pantry, storage
клан|clan
кланяться|bow
клапан|flap, valve
кларнет|clarinet
класс|class, grade, room
классифицировать|categorize, class, classify
классический|classical, vintage
классный|classy, dandy, neat
класть|lay, put
клаустрофобия|claustrophobia
клевать|peck
клевер|clover
клевета|smear
клеветать|libel
клеветнический|defamatory, libellous, slanderous
клевок|peck
клёвый|funky
клеёнка|oilcloth
клей|adhesive, gum, size
клейкий|glutinous, sticky
клеймить|brand
клеймо|stigma
клейстер|paste
клекотать|squawk
клептоман|kleptomaniac
клетка|hutch
клетчатка|fibre
клетчатый|check, tartan
клёцка|dumpling
клёш|flare
клешни|pincers
клешня|claw
клещи|crampon, pincers
кливер|jib
клиент|client, patron, punter
клиентура|clientele, punter
клизма|enema
клика|clique
климат|climate
клин|gusset, wedge
клитор|clitoris
клише|cliche, stock phrase
клон|clone
клочок|scrap, shred, wisp
клубиться|billow
клубника|strawberry
клубок|ball
клумба|flowerbed, herbaceous
клык|fang, tusk
клюв|beak
клюква|cranberry
клюнуть|peck
ключ|can-opener, clef, key, passport, winder
ключица|collarbone
клякса|blot
кляп|gag
клясться|vow
клятва|oath
кляча|nag
книга|book, cookbook
книгодержатель|book end
книготорговец|bookseller
кнопка|button, drawing pin, knob, pin, popper, press, push-button, thumbtack
княжество|principality
коала|koala
коалиция|coalition
Кобол|COBOL
кобра|cobra
кобура|holster
кобыла|mare
коварный|insidious, treacherous
ковать|forge
коврик|mat, rug
ковылять|hobble
когда|convenience, if, that, when
кого|whom
коготь|claw, talon
код|dialling code
кодеин|codeine
кодифицировать|codify
кожа|leather, skin
кожица|cuticle
кожура|rind, skin
коза|goat, nanny goat
козёл|billy goat, goat
Козерог|Capricorn
козлёнок|kid
козлы|trestle
козни|machinations, scheming
козырёк|peak
козырь|trump
койка|berth, bunk, hammock
койот|coyote
кокаин|cocaine
кокетливый|pert
коклюш|whooping cough
кокни|cockney
кокос|coconut
кокосовый|coconut
кокс|coke
коктейль|Molotov cocktail
кол|stake
колбаса|sausage
колготки|pantihose, tights
колдовство|spell, witchcraft
колдун|sorcerer
колебание|fluctuation, hesitation, swing
колебаться|dither, fluctuate, hesitant, hesitate, oscillate, teeter, waver
колени|lap
колено|knee
колесница|chariot
колесо|wheel
колибри|humming bird
колики|colic, gripe
количественное числительное|cardinal
количественный|quantitative
количество|amount, qty, quantity, volume
коллаген|collagen
коллаж|collage
коллега|associate, colleague, counterpart
коллектив|collective
колли|collie
коловорот|brace
колодец|well
колокол|bell
колокольня|belfry, steeple
колокольчик|bell, bluebell
колониальный|colonial
колонизировать|colonize
колония|colony
колонкоустановитель|tabulator
колонтитул|running head
колоритный|flamboyant
колос|ear, spike
колоссальный|almighty, colossal, mammoth, monumental, stupendous, terrific
колотить|pummel
колоться|mainline
колумбиец|Colombian
Колумбия|Colombia
колыбель|cradle
колыбельная|lullaby
колыхаться|wobble
кольцо|ring, teething ring
колючий кустарник|briar
колючий|prickly, spiky, thorny, ticklish
колюшка|stickleback
коляска|baby carriage, pushchair, sidecar, stroller
ком|lump
команда|gang, squad, team
командир|commander, commanding officer
командировать|second
командировка|business trip, posting, secondment
командовать|command, manage
командующий|commander
комар|mosquito
комбайн|harvester
комбинация|petticoat, sequence
комбинезон|boiler suit, dungarees, jump suit, overall, smock
комбинированная|sink unit
комбо|combo
комендант|commandant, warden
комета|comet
комик|comedian
комикс|comic strip
Коминтeрн|Comintern
комиссионер|factor
комиссионных|commission
комиссия|panel
комитет|board, committee
комковатый|lumpy
комментатор|analyst
комментировать|comment
коммерция|commerce
коммивояжёр|commercial traveller, travel(l)ing salesman, traveller
коммунизм|communism
коммунист|communist
коммутатор|switchboard
коммюнике|communique
комната|apartment, room
комнатный|indoor, potted
комод|bureau, chest of drawers
комок|wad
компания|campaign, gang, outfit, pack
компановка|layout
компенсация|damage, recompense
компенсировать|compensate
компетенция|competence
комплекс|complex, hang-up
комплект|font, kit, outfit, set
композитор|composer
компонент|component, constituent
компресс|compress
компромисс|trade-off
компромиссный|compromise
компьютеризация|computerization
компьютеризовать|computerize
компьютерный|computer
кому|whom
конвейер|conveyorbelt
конвектор|convector
конверт|envelope, sleeve
конгломерат|conglomerate
конгломерация|conglomeration
Конго|Congo
конгресс|congress
конгрессмен|Congressman, congresswoman
конденсация|condensation
кондитер|confectioner
кондитерская|candy store, confectioner's (shop)
кондиционирование|air conditioning
кондиционированный|air-conditioned
кондуктор|conductress
конёк|ridge, skate
конец|close, end, ending, finish, knell, tail, tail end
конечно!|course
конечности|extremities
конечность|extremity, limb
конечный|eventual
конический|conical
конкур|show jumping
конкурентоспособность|viability
конкурентоспособный|viable
конкуренция|rivalry
конкурировать|competition
конкурирующий|rival
конкурс|competitive examination
коннотация|connotation
конный|horse-drawn, mounted
конопля|hemp
консервант|preservative
консервативный|standpat
консерватор|conservative, Tory
консервированный|long-life, potted, tinned
консервировать|bottle, can
консистенция|consistency
консоли|consols
консоль|cantilever
консорциум|consortium
конспект|precis, script
констатировать|state
конституционный|constitutional
конструктивный|constructive
конструкция|fabric
консул|consul
консульство|consulate
консультативный|advisory, consultative
консультировать|advise
контакт|contact
контейнерный|container
контекст|context
контрабанда|smuggling
контрабандист|bootlegger, smuggler
контрабандный|bootleg, contraband
контрабас|double bass
контракт|contract, engagement
контральто|alto, contralto
контратаковать|counterattack
контрмера|countermeasure
контрнаступление|counteroffensive
контролёр|inspector, overseer, ticket collector, ticket inspector
контролировать|control, monitor, upper hand
контролирующий|supervisory
контроль|arms control, checkout, control, costcontrol
контрразведка|counterespionage, counterintelligence
контрфорс|buttress
конура|kennel
конфедерация|confederation
конферансье|showman
конференция|conference
конфета|sweet
конфетти|confetti
конфигурация|configuration
конфиденциально|confidence, privately
конфиденциальность|confidentiality
конфискация|confiscation, seizure
конфисковать|seize, sequestrate
конфисковывать|confiscate, impound
конфликтный|argumentative
конфликтовать|loggerheads
конфорка|hotplate
конформист|conformist
конфронтация|confrontation
концентрационный лагерь|concentration camp
концентрация|concentration
концентрировать|concentrate
концентрический|concentric
концерт|concert, concerto, gig
концессионер|concessionaire
кончать|finish
кончаться|end
кончик|tip
конъюнктивит|conjunctivitis
конь|horse, knight
конькобежец|skater
коньяк|brandy, cognac
конюх|groom
кооператив|cooperative
кооперация|liaison
кооперироваться|liaise
координата|coordinate
координация|coordination
Копенгаген|Copenhagen
копёр|pithead
копилка|piggy bank
копирование|imitation
копировать|Ape, copy, imitate
копить|hoard
копия|copy, replica
копоть|grime
коптильня|smoke shop
копчёный|smoked
копытами|paw
копыто|hoof
копье|javelin
кора|bark
кораблекрушение|shipwreck, wreck
корабль|boat, ship
коралл|coral
Коран|Koran
кореец|Korean
коренастый|stocky, thickset
коренной|indigenous
корень|root
кореш|pal
корешок|counterfoil, stub
Корея|Korea
корзина|basket, pannier
корзинка|tray
корзиночка|punnet
коридор|hall
коридорный|bellboy
корица|cinnamon
коричневый|brown
корка|rind
корм|feed, fodder
корма|stern
кормилец|breadwinner, wage earner
кормить|breast-feed, feed, suckle
кормление|feed
кормушка|trough
Корнуолл|Cornwall
корнуэльский|Cornish
коробка|box
коровник|byre, cowshed
королева|queen
королевский|regal, royal
королевство|kingdom, realm
корона|crown
коронация|coronation
коронер|coroner
короткий|brief, short, stubby
коротковолновый|short wave
корпус|body, bodywork, corps, hulk, hull
корректор|proofreader
корректура|proof
корреспондeнт|correspondent
коррозийный|corrosive
корсаж|bodice
корсет|corset
Корсика|Corsica
корсиканец|Corsican
кортизон|cortisone
Корфу|Corfu
коршун|kite
корысть|self-interest
корыто|trough
корь|measles
коса|braid, tress
косвенно|indirectly
косилка|mower
косить|mow, squint
косичка|pigtail
косметический|cosmetic
косметичка|beautician, vanity case
космический|cosmic
космонавт|cosmonaut, spaceman
космополитический|cosmopolitan
космос|cosmos, space
косность|rigidity
косноязычный|inarticulate, incoherent
косный|rigid
косоглазие|squint
косоглазый|cross-eyed
косой|sidelong
косолапый|pigeon-toed
костёр|bonfire
костистый|bony
костлявый|bony
косточка|pip
костыль|crutch
кость|bone
костюм|kit, suit
костяшка|knuckle
косуля|roe, roe deer
косынка|headscarf
косяк|jamb, shoal
кот|tomcat
котелок|bowler, derby
котёнок|kitten
котик|pussy(cat), sealskin
котировка|quotation
котлета|cutlet
которого|whom
которому|whom
который|that, which
Котсвольд|Cotswolds
коттедж|chalet, cottage
кофе|coffee
кофеварка|percolator
кофеин|caffein(e)
кофейная|coffee bar
кофейник|coffeepot, pot
кофемолка|grinder
кочевник|nomad
кочевой|nomadic, wandering
кочегар|stoker
кочерга|poker
кошачий|feline
кошелёк|pouch, purse
кошерный|kosher
кошка|cat
кошмар|nightmare
кошмарный|hellish, nightmarish, shocking
краб|crab
кража|theft
край|brim, edge, lip, margin, rim
крайне|extremely, vastly
крайний|extreme
крайности|excess
крайность|extreme, extremity
кран|faucet, tap
кранец|fender
крапива|nettle
крапивник|wren
крапинка|speck, spot
красавица|beauty
красавчик|hunk
красивый|beautiful, bonny, good-looking, handsome, lovely, shapely
краситель|dye
